claim_id,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence
"ENAKQ.daily.schedule","revise","3","2","3","4","evidence_mismatch","K의 하위 구조가 확정된 뒤 시작·복귀·지속·정리 중 측정된 신호만 문장에 연결하고 생활 조건을 함께 표시한다.","일정 행동의 상황 의존성을 잘 제한했지만 현재 K가 여러 실행 관련 행동을 한 글자로 묶어 각 행동을 예측할 수 있는지는 검증되지 않았다.","high"
"ENAKQ.family.care","revise","3","2","2","4","unmeasured_inference","E와 A의 단일 정의를 가족 돌봄 행동으로 합성하지 말고 가족 맥락의 실제 안부·연락 행동과 관계 안전성을 별도로 측정한다.","후보라는 완화 표현은 있으나 E·A가 가족에게 먼저 안부를 묻는다는 상황 전이는 직접 근거가 부족하고 가족 역할의 영향을 크게 받는다.","high"
"ENAKQ.family.conflict","revise","3","2","3","4","unmeasured_inference","G/A 과정 신호가 충분한 경우에만 갈등 반응 순서를 제시하고 대표 A에서 행동 순서를 암시하는 문장은 제거한다.","생각과 행동을 분리하고 경계를 말할 수 있음을 명시한 점은 적절하지만 가족 갈등에서의 순서는 과정 자료 없이는 판별할 수 없다.","high"
"ENAKQ.family.contact","revise","3","2","2","4","unmeasured_inference","가족 연락 행동을 E·A 조합의 결과로 제시하지 말고 표현 시작 세부 점수와 실제 연락 기록을 분리해 검증한다.","가족에게 먼저 연락한다는 행동은 관계 역사와 역할 분담의 영향이 커서 대표 코드로 일반화하기 어렵다.","high"
"ENAKQ.family.context","revise","3","2","3","4","evidence_mismatch;cultural_norm","가족 역할·동거·돌봄·세대와 문화 맥락을 먼저 제시하고 ENAKQ별 예시는 한국어 인지 면접과 상황별 자료를 거친 뒤 사용한다.","가족에서 다른 모습이 나타날 수 있다는 경계는 타당하지만 역할과 책임의 양상은 문화와 가족 구조에 따라 달라 직접 적용 근거가 필요하다.","high"
"ENAKQ.family.friction","insufficient_evidence","2","1","2","3","unmeasured_inference","A·Q 상호작용과 가족 장면의 걱정 및 확인 행동을 직접 검증하기 전에는 코드 기반 마찰 패턴으로 발행하지 않는다.","작은 변화를 알아차리고 반복 확인할 수 있다는 흐름은 A·Q 합성 가설이며 알아차림 정확도와 확인 행동 모두 현재 점수에서 측정되지 않는다.","high"
"ENAKQ.family.role","revise","3","2","2","4","ability_inference","K를 가족 책임 수행이나 돌봄 역할과 연결하지 말고 시작·지속 관련 자기보고와 실제 분담·자원 조건을 분리한다.","도덕성과 실제 수행량을 부정한 것은 좋지만 가족 일정을 챙기는 예시는 K가 책임 있는 가족 역할을 맡는다는 후광을 만들 수 있다.","high"
"ENAKQ.friend.context","revise","3","2","3","4","evidence_mismatch;cultural_norm","친구 관계의 빈도·친밀도·집단 규범을 명시하고 E 관련 예시는 표현 시작 세부 점수와 실제 친구 장면 자료에 조건화한다.","친구 맥락에서 성향 표현이 달라진다는 방향은 맞지만 먼저 연락하고 활동을 제안한다는 ENAKQ 고유 묘사는 직접 검증되지 않았다.","high"
"ENAKQ.friend.distance","insufficient_evidence","2","1","2","4","unmeasured_inference","N·Q 상호작용과 친구 답장 지연에 대한 해석 지속을 함께 측정한 자료가 생기기 전에는 발행하지 않는다.","답장 지연에서 여러 이유를 떠올리고 부정적 설명에 머문다는 조합은 단일 축 정의를 합성한 가설로 증분 타당도 근거가 없다.","high"
"ENAKQ.friend.initiation","revise","3","2","3","4","evidence_mismatch","대표 E가 아닌 표현 시작 세부 점수로 제한하고 최근 피로와 관계 규범 등 상황 변인을 함께 표시한다.","친구에게 먼저 연락한다는 후보는 표현 시작과 정합적이지만 복합 E 점수에서 특정 관계 행동으로 전이되는 정도가 검증되지 않았다.","high"
"ENAKQ.friend.novelty","revise","3","2","2","4","unmeasured_inference","새 활동 제안은 N의 세부 탐색 신호로만, 실제 약속 전환은 K 및 행동 자료로 별도 처리하고 조합 효과를 말하지 않는다.","새 경험 탐색은 N 정의와 맞지만 K가 이를 실제 약속으로 이어 준다는 조합 해석은 측정되지 않았다.","high"
"ENAKQ.friend.reciprocity","revise","4","3","3","4","evidence_mismatch","일반 관계 교육 문장으로 분리하고 ENAKQ 결과에 귀속하지 않으며 기여 방식의 평가는 당사자 진술과 구체 행동을 사용한다.","제안과 참여가 모두 관계 기여일 수 있다는 설명은 구성개념상 안전하지만 성향 코드의 고유 결과라기보다 일반적인 관계 원칙이다.","medium"
"ENAKQ.friend.repair","accept","4","3","4","4","none","","인물 평가 대신 구체 장면과 원하는 행동을 말하라는 내용은 특정 성향을 원인으로 단정하지 않고 다양한 친구 관계에 적용 가능한 안전한 대화 경계다.","medium"
"ENAKQ.general.definition.A","insufficient_evidence","2","1","2","4","evidence_mismatch","A/G 양극 구성개념의 내용 타당도와 요인 구조, 기존 대인 특성과의 수렴·변별 타당도를 확인한 뒤 정의를 확정한다.","상대 마음 대 원인·해결이라는 관심 방향은 이해하기 쉽지만 하나의 양극 축인지와 능력·친절성과 실제로 구분되는지는 아직 정량 검증되지 않았다.","high"
"ENAKQ.general.definition.E","revise","3","3","3","4","evidence_mismatch","교류 에너지와 표현 시작의 상관 및 상위 요인 적합도를 확인하고 둘이 갈릴 때 대표 E를 부여하는 채점 규칙을 명시한다.","외향성 관련 근거와 경계는 비교적 강하지만 두 세부 성향을 하나의 문자로 묶는 뉴앙 고유 구조와 대표 코드 판정은 아직 잠정적이다.","high"
"ENAKQ.general.definition.K","insufficient_evidence","2","1","2","4","evidence_mismatch","시작·복귀·지속·정리의 요인 구조와 맡은 일 이행의 포함 여부를 정량 검증한 뒤 K의 포함·제외 범위를 확정한다.","현재 정의가 여러 실행 및 질서 관련 행동을 묶고 세 번째 하위 성향도 미정이어서 하나의 안정된 구성개념으로 해석하기 이르다.","high"
"ENAKQ.general.definition.N","revise","3","3","3","4","evidence_mismatch","개방성·지성 및 MBTI N과의 수렴·변별 관계를 검증하고 미적 경험·상상 확장·지적 탐구가 상위 N에 묶이는지 확인한다.","가능성 및 원리 탐색의 경계는 비교적 명확하지만 세 하위 영역과 R 대극을 포함한 뉴앙 고유 점수는 기존 검사와 동일하지 않아 직접 검증이 필요하다.","high"
"ENAKQ.general.definition.Q","insufficient_evidence","2","1","2","4","evidence_mismatch","감정 동요와 걱정·주저의 상위 요인, 상태 불안 및 신경증 경향과의 수렴·변별 타당도, C 대극을 검증한다.","두 하위 성향은 관련되지만 구분 가능한 정서 과정이며 이를 Q 한 글자로 묶는 구조와 반대 방향 C의 의미가 아직 확정되지 않았다.","high"
"ENAKQ.general.inner.A","insufficient_evidence","2","1","2","4","unmeasured_inference","A의 대표 점수와 처음 드는 생각을 동일시하지 말고 동일 장면에서 첫 주의 방향을 별도 반복 측정해 타당화한다.","A 정의를 내적 첫 반응으로 곧바로 해석하지만 현재 요구 신호에 개인 과정 자료가 있어도 그 구조의 타당도가 확보되지 않았다.","high"
"ENAKQ.general.q.activation","revise","3","2","3","4","evidence_mismatch","Q의 두 하위 요인과 상태 스트레스를 분리해 제시하고 요인 구조 및 상태 통제 후에만 활성화 경향으로 해석한다.","불편 상황의 내적 활성화라는 범위는 일관되지만 Q가 감정 동요와 걱정·주저를 하나로 대표하는 구조는 잠정적이다.","high"
"ENAKQ.general.q.expression","accept","4","4","4","4","none","","Q에서 외현 행동·감정조절·회복·정신건강·애정의 크기를 추론하지 않는다는 경계는 구성개념 오용을 직접 막고 상태와 행동을 분리한다.","high"
"ENAKQ.general.response.AA","revise","3","2","2","4","unmeasured_inference","AA를 발행할 반복 장면 수와 일치도 기준을 정하고 대표 A와 과정 신호가 불일치할 때 보류 규칙을 마련한다.","처음 생각과 실제 반응의 분리는 의미 있으나 A→A라는 안정된 과정 유형을 두 단계 응답에서 도출할 신뢰도 근거가 없다.","high"
"ENAKQ.general.response.AG","revise","3","2","2","4","unmeasured_inference","AG를 발행할 반복 장면 수와 상황 일반화 기준을 정하고 행동 이유는 별도 직접 응답이 있을 때만 표시한다.","A→G 흐름은 가능한 장면 기술이지만 개인의 반복적 세부 코드로 제시하려면 재검사 및 상황 간 일관성 자료가 필요하다.","high"
"ENAKQ.general.role.conductor","revise","2","2","3","3","ability_inference;unclear_korean","지휘자 역할명의 리더십·능력 후광을 인지 면접과 코드 blind 비교로 검증하고 후광이 남으면 더 중립적인 짧은 이름으로 교체한다.","본문의 제한 문구는 충실하지만 지휘자 자체가 조율·기획·통솔 능력을 암시해 사용자가 면책 문구보다 이름을 강하게 기억할 가능성이 있다.","high"
"ENAKQ.general.role.opens","revise","2","2","2","3","unmeasured_inference;deterministic_language","관계를 연다는 결과 표현을 대화 시작에 관심이 갈 수 있다는 중립 표현으로 낮추고 E·A 상호작용 검증 전에는 결합 효과를 제시하지 않는다.","관계를 연다는 말은 성공한 관계 행동을 암시하며 E와 A가 함께 있으면 상대에 맞춰 대화를 시작한다는 조합은 측정되지 않았다.","high"
"ENAKQ.interaction.AQ","insufficient_evidence","2","1","2","4","unmeasured_inference","A·Q 단일 효과를 분리하고 관계 장면에서 두 축의 통계적 상호작용과 증분 설명력을 검증한다.","상대 마음 주의와 걱정 활성화가 같은 장면에 공존할 수는 있으나 AQ 조합 고유 패턴이라고 할 근거가 없다.","high"
"ENAKQ.interaction.EA","insufficient_evidence","2","1","2","4","unmeasured_inference","E·A 상호작용이 대화 시작 및 상대 조절 행동을 예측하는지 단일 효과와 분리해 검증한다.","먼저 질문하고 참여 여지를 살피는 모습은 두 정의를 합성한 서사이며 관계 능력과 구분되는 증분 타당도가 없다.","high"
"ENAKQ.interaction.ENK","insufficient_evidence","2","1","1","3","unmeasured_inference;ability_inference","ENK의 상호작용 및 실제 조율 행동을 검증하기 전에는 역할명 근거 또는 강점 서사로 사용하지 않는다.","대화 시작·선택지 확장·후속 실행을 한 사람의 조합 패턴으로 묶는 것은 세 단일 축을 더한 가설이며 기획·조율 능력 후광 위험이 크다.","high"
"ENAKQ.interaction.EQ","insufficient_evidence","2","1","2","4","unmeasured_inference","E와 Q의 단일 경향, 내적 활성화, 실제 표현을 같은 사건에서 반복 측정해 상호작용을 검증한다.","걱정 중 타인에게 말해 정리한다는 패턴은 가능하지만 EQ 조합에서 더 나타난다는 근거가 없고 표현은 별도 정보다.","high"
"ENAKQ.interaction.NAQ","insufficient_evidence","2","1","1","4","unmeasured_inference","NAQ 조합 문장을 보류하고 세 축의 단일 설명만 제공하며 다변량 상호작용은 충분한 표본으로 사전등록 검증한다.","여러 가능성 중 관계 악화를 오래 생각한다는 서사는 세 축의 의미를 결합한 것으로 실제 증분 효과가 전혀 검증되지 않았다.","high"
"ENAKQ.interaction.NK","insufficient_evidence","2","1","2","4","unmeasured_inference","N과 K의 단일 경향을 분리하고 탐색 뒤 실행이라는 순차 패턴의 상호작용 및 증분 타당도를 검증한다.","새 가능성을 살핀 뒤 흐름을 이어간다는 설명은 두 정의를 자연스럽게 합친 것이지만 조합 고유의 행동 패턴이라는 근거는 없다.","high"
"ENAKQ.interaction.NQ","insufficient_evidence","2","1","2","4","unmeasured_inference","N과 Q의 단일 효과 및 부정적 가능성에 머무는 시간을 같은 상황에서 측정해 상호작용을 검증한다.","가능성 탐색이 걱정으로 좁혀지는 흐름은 설득력 있는 가설이지만 N·Q 조합의 증분 효과와 방향성이 검증되지 않았다.","high"
"ENAKQ.misread.A","accept","4","3","4","4","none","","A에서 공감 능력·친절·자기희생·갈등 회피를 추론하지 않고 첫 주의와 실제 반응을 분리하는 경계는 구성개념 오용을 적절히 막는다.","high"
"ENAKQ.misread.barnum","accept","4","4","4","4","none","","역할명 자기일치감과 점수 기반 정확성을 구분하고 반례·대상 조건·blind 비교를 요구하는 내용은 포러 효과를 통제하는 타당한 품질 원칙이다.","high"
"ENAKQ.misread.E","accept","4","3","4","4","none","","E를 말수·사교성 우열·항상 활발함으로 확대하지 않고 에너지와 표현 시작을 구분하는 설명은 상태 및 상황 변산을 안전하게 반영한다.","high"
"ENAKQ.misread.K","accept","4","3","4","4","none","","K를 도덕성·책임감·생산성·완벽주의와 분리하고 자원과 목표 변화를 함께 보라는 경계는 능력 및 가치 판단을 막는다.","high"
"ENAKQ.misread.N","accept","4","3","4","4","none","","N을 지능·창의 능력·현실성의 우열로 해석하지 않고 탐색 관심과 결과 품질을 분리하는 경계가 명확하다.","high"
"ENAKQ.misread.Q","accept","4","3","4","4","none","","Q에서 감정조절·위험 판단·회복력·정신건강을 추론하지 않고 감정과 행동 책임을 분리하는 문장은 낙인과 임상 과잉을 줄인다.","high"
"ENAKQ.misread.role","accept","4","4","4","4","none","","역할명을 능력·직업·지위와 분리하고 일반 긍정 문장의 자기일치감을 정확성으로 취급하지 않는 검증 경계가 분명하다.","high"
"ENAKQ.misread.self_other","accept","4","4","4","4","none","","자기보고와 타인 관찰의 정보가 다르며 어느 한쪽도 항상 우월하지 않다는 설명은 의도·행동·영향을 분리하는 성격 지각 연구와 부합한다.","high"
"ENAKQ.partner.ambiguity","insufficient_evidence","2","1","2","4","unmeasured_inference","N·A·Q 조합에 관한 문장은 보류하고 관계 불확실성에 대한 일반 경계와 개인의 실제 반응만 제시한다.","답장과 약속 변화에서 부정적 관계 해석이 커진다는 세 축 조합은 검증 전이며 애착 불안과 구분했다는 사실만으로 타당해지지 않는다.","high"
"ENAKQ.partner.autonomy","accept","4","4","4","4","none","","관심과 통제, 계획과 선택권, 관계와 개인정보 접근 권한을 분리하고 공개 정보만 비교에 사용한다는 원칙은 구성개념 및 관계 안전에 적절하다.","high"
"ENAKQ.partner.conflict","accept","4","3","4","4","none","","Q나 A에서 갈등 행동을 예측하지 않고 내적 반응·실제 표현·경계 말하기를 구분하며 폭력 상황을 일반 대화 조율에서 제외한다.","high"
"ENAKQ.partner.contact","revise","3","2","3","4","unmeasured_inference","E·A 조합을 연락 및 애정 표현 예측으로 쓰지 말고 표현 시작 세부 점수와 실제 연락 선호를 직접 확인한다.","대표 코드에서 먼저 연락하거나 상대 반응을 살피는 행동으로 전이하는 근거는 부족하지만 연락 빈도와 애정 크기를 분리한 경계는 적절하다.","high"
"ENAKQ.partner.context","accept","4","3","4","4","none","","대표 코드가 애정·헌신·애착·질투·신뢰·관계 미래를 측정하지 않는다고 명시하고 관계 형태와 성별 규범을 강요하지 않는 경계가 타당하다.","high"
"ENAKQ.partner.expression","revise","3","2","3","4","unmeasured_inference","E·A에서 특정 애정 표현 방식을 유도하지 말고 개인 선호와 실제 행동을 직접 수집해 표시한다.","연락·말·시간·도움 등 표현 방식이 코드로 정해지지 않는다는 제한은 좋지만 앞부분의 E·A 행동 예측은 직접 검증이 없다.","high"
"ENAKQ.partner.plan","insufficient_evidence","2","1","2","4","unmeasured_inference","N·K 조합이 연인 관계의 미래 대화와 계획 지속을 예측한다는 문장을 보류하고 상상·합의·실행을 직접 구분해 수집한다.","미래 선택지를 펼치고 약속을 이어간다는 흐름은 N과 K를 합성한 가설이며 관계 맥락에서 검증되지 않았다.","high"
"ENAKQ.partner.repair","accept","4","3","4","4","none","","회복을 대화·행동 변화·정서 안정·재연결의 서로 다른 속도로 보고 ENAKQ 공통 회복법을 정하지 않는 설명은 상태와 행동을 적절히 구분한다.","medium"
"ENAKQ.process.enacted_response","revise","3","2","3","4","evidence_mismatch","실제 나타나는 반응의 상황 내 신뢰도와 반복 장면 간 일반화 기준을 정하고 행동 이유는 별도 응답으로만 연결한다.","첫 주의와 실제 행동을 구분하는 개념은 의미 있으나 뉴앙의 두 층위 문항이 안정된 개인차를 측정하는지는 아직 검증되지 않았다.","high"
"ENAKQ.process.first_orientation","revise","3","2","3","4","evidence_mismatch","처음 드는 생각을 본성으로 읽지 않는 경계를 유지하고 반복 장면의 첫 주의 응답이 별도 요인으로 재현되는지 검증한다.","첫 주의와 행동을 분리한 이론적 구분은 타당하지만 현재 문항과 점수가 두 과정의 개인차를 신뢰롭게 구분하는지 근거가 부족하다.","high"
"ENAKQ.process.GA","insufficient_evidence","2","1","2","4","unmeasured_inference","대표 A와 G 첫 반응의 불일치를 처리할 채점 규칙, 최소 장면 수, 재검사 신뢰도를 확정하기 전에는 G→A 세부 코드를 발행하지 않는다.","가능한 장면 묘사와 반복적 과정 유형은 다르며 두 응답에서 배려·조절이라는 성향을 도출할 수 없다.","high"
"ENAKQ.process.GG","insufficient_evidence","2","1","2","4","unmeasured_inference","대표 A와 G 첫 반응의 불일치를 먼저 검토하고 충분한 반복 자료와 상황 범위를 확보하기 전에는 G→G 세부 코드를 발행하지 않는다.","원인과 해결을 먼저 보고 말하는 장면은 가능하지만 대표 A 사용자의 안정된 하위 유형이라는 근거가 없다.","high"
"ENAKQ.process.personal_display","revise","3","2","3","4","evidence_mismatch","유효 장면 수·불확실성·버전을 함께 표시하고 발행 최소 기준과 결과 불일치 처리 규칙을 파일럿으로 확정한다.","대표 코드와 과정 자료를 분리하고 75퍼센트를 성격 확률로 제시하지 않는 설계는 좋지만 4개 중 3개 같은 표시의 신뢰 해석이 아직 정해지지 않았다.","high"
"ENAKQ.strength.A","revise","3","2","3","4","unmeasured_inference","강점 명칭 대신 조건부 후보 행동으로 제시하고 A 점수와 실제 영향 확인 행동의 관계를 검증한다.","상대 영향을 한 번 더 살피는 행동은 A 정의와 정합적이나 이를 유용한 강점으로 경험하는 조건과 실제 정확성은 측정되지 않았다.","high"
"ENAKQ.strength.A_overuse","revise","3","1","2","4","unmeasured_inference","A가 높을수록 말 지연이나 선택권 축소가 나타난다는 인과 서사를 제거하고 사용자에게 실제 발생 여부를 묻는 선택적 점검 문장으로 바꾼다.","과하게 살필 때의 비용은 가능한 가설이지만 A 점수에서 특정 과사용 결과를 예측하는 자료가 없다.","high"
"ENAKQ.strength.E","revise","3","2","3","4","unmeasured_inference","표현 시작 세부 점수에 조건화하고 침묵을 깨는 행동이 실제 도움 되었는지는 상황 및 타인 반응 자료로 확인한다.","먼저 질문을 꺼내는 행동은 E의 표현 시작과 맞지만 함께할 사람을 연결한다는 효과까지는 코드로 보장되지 않는다.","high"
"ENAKQ.strength.E_overuse","revise","3","1","2","4","unmeasured_inference","E에서 타인의 검토 공간 축소나 휴식 침해를 곧바로 예측하지 말고 실제 빈도와 영향을 확인하는 비채점 질문으로 바꾼다.","표현 시작이 과하면 생길 수 있는 비용은 plausible하지만 현재 점수와 결과의 곡선 또는 임계 관계가 검증되지 않았다.","high"
"ENAKQ.strength.interaction","insufficient_evidence","2","1","1","3","unmeasured_inference;ability_inference","E·A·N·K 결합 강점과 역할명 근거로 사용하지 말고 각 단일 축의 조건부 행동만 분리해 제공한다.","사람 연결·선택지 확장·영향 확인·흐름 지속이 잘 맞물린다는 주장은 네 축의 상호작용 및 능력 효과를 암시하지만 검증이 없다.","high"
"ENAKQ.strength.K","revise","3","2","3","4","unmeasured_inference","K 하위 구조가 확정된 뒤 측정된 시작·복귀·정리 행동만 연결하고 과제 성공이나 약속 이행 효과는 분리한다.","다시 이어가고 순서를 정리하는 후보는 K 정의와 맞지만 이를 실제 장면의 도움으로 해석할 준거 타당도가 아직 없다.","high"
"ENAKQ.strength.K_overuse","revise","3","2","2","4","unmeasured_inference","K가 높을수록 새 정보 반영이 늦어진다는 곡선 효과를 검증하기 전에는 개인 점검용 가능성으로만 제시한다.","지속의 과사용 비용은 이론적으로 가능하나 기존 성실성의 곡선 연구가 뉴앙 K의 특정 행동을 직접 지지하지 않는다.","high"
"ENAKQ.strength.N","revise","3","2","3","4","unmeasured_inference","N 세부 점수에 조건화하고 질문 확장 행동을 창의적 결과와 분리한 채 실제 탐색 장면 자료로 검증한다.","가능성 및 연결 탐색은 N 정의에 맞지만 상황에서 유용한 강점으로 나타나는 정도와 조건은 아직 확인되지 않았다.","high"
"ENAKQ.strength.N_overuse","revise","3","2","2","4","unmeasured_inference","N이 높을수록 결정 지연이나 과도한 의미 부여가 생긴다고 단정하지 말고 실제 경험을 확인하는 선택적 문장으로 제한한다.","탐색 지속의 비용은 plausible하지만 점수와 과사용 결과 사이의 관계 및 임계점이 검증되지 않았다.","high"
"ENAKQ.strength.Q_use","revise","4","3","4","4","evidence_mismatch","Q의 장점이 아니라 측정 결과를 활용한 자기관찰 선택지라고 제목과 문구를 통일하고 각 선택지의 효용을 보장하지 않는다.","Q를 감수성·위험 탐지로 미화하지 않는 경계는 매우 적절하나 현재 강점 섹션 배치가 반응 자체의 긍정적 효용으로 오해될 수 있다.","high"
"ENAKQ.stress.activation","revise","3","2","3","4","evidence_mismatch","Q의 두 하위 요인과 현재 스트레스 노출을 함께 제시하고 상태 영향이 큰 경우 성향 해석을 낮춘다.","걱정과 불편 정서 활성화라는 범위는 일관되지만 현재 환경 부담을 측정하지 않으면 Q 고유 경향과 상태 효과를 분리할 수 없다.","high"
"ENAKQ.stress.communication","accept","4","3","4","4","none","","Q로 발언량·침묵·표정·연락 행동을 정하지 않고 실제 장면의 신호·행동·결과를 별도 기록하게 하는 경계는 추론 범위에 맞다.","high"
"ENAKQ.stress.crossload","revise","3","2","3","4","evidence_mismatch","N·K·Q의 구분을 가설로 표시하고 문항 간 교차부하와 요인 변별성이 확인된 뒤에만 생각의 기능을 코드로 분류한다.","가능성 탐색·계획 확인·부정적 결과 걱정을 개념적으로 나눈 것은 좋지만 뉴앙 문항이 실제로 세 과정을 구분하는지 검증 전이다.","high"
"ENAKQ.stress.worry","insufficient_evidence","2","1","2","4","evidence_mismatch","Q 걱정·주저 하위척도의 요인 구조, 신뢰도, 상태 불안과의 수렴·변별 타당도를 확보한 뒤 발행한다.","실패 가능성이 반복해 떠오르고 행동을 망설이는 정의는 이해 가능하지만 이 내용이 안정된 Q 하위 성향인지 정량 자료가 없다.","high"
"ENAKQ.study.pattern","insufficient_evidence","2","1","2","4","unmeasured_inference","N·K 단일 경향과 실제 학습 전략을 분리하고 단계별 상호작용과 학습 맥락 전이를 검증한다.","개념 탐색 뒤 계획을 이어간다는 학습 패턴은 두 축을 합성한 가설이며 이해력·성적을 부정해도 행동 설명 자체의 근거는 부족하다.","high"
"ENAKQ.work.collaboration","revise","3","2","3","4","unmeasured_inference","A 점수에서 협업 배려 행동을 예측하지 말고 관계 주의와 실제 확인·피드백 행동을 별도 측정한다.","결정의 대인 영향을 살필 수 있다는 설명은 A와 맞지만 사람 관리 능력을 부정하더라도 업무 행동으로의 전이 근거가 부족하다.","high"
"ENAKQ.work.context","accept","4","4","4","4","none","","역할·권한·문화·자원과 특성 활성화를 분리하고 행동과 성과 평가를 구분하는 설명은 사람-상황 및 특성 활성화 관점과 부합한다.","high"
"ENAKQ.work.evaluation","revise","3","2","3","4","evidence_mismatch","Q 하위 점수와 현재 평가 상황의 부담을 함께 측정하고 지원 방식은 개인 경험 자료가 있을 때만 제안한다.","평가 불확실성에서 걱정이 커질 수 있다는 가설은 정합적이나 업무 장면 전이와 감정 동요 결합을 직접 검증하지 않았다.","high"
"ENAKQ.work.followthrough","revise","3","2","3","4","evidence_mismatch","K 하위 구조와 업무 장면의 시작·복귀·정리 행동을 연결한 준거 타당도를 확보하고 성과와는 계속 분리한다.","환경과 능력 조건을 충실히 제한했지만 K 점수가 실제 업무 지속 행동을 어느 정도 설명하는지 자료가 부족하다.","high"
"ENAKQ.work.ideation","revise","3","3","3","4","evidence_mismatch","N과 기존 개방성·지성의 관계를 확인하고 새 관점 탐색과 실제 아이디어 생성 활동을 별도 지표로 검증한다.","창의 능력 및 성취와 구분한 것은 적절하지만 N 점수에서 업무 아이디어 탐색 행동으로 전이하는 직접 근거는 없다.","high"
"ENAKQ.work.learning","revise","3","2","3","4","evidence_mismatch","N 세부 점수와 실제 학습 중 원리·연결 탐색 행동을 함께 측정해 맥락 전이를 확인한다.","다른 관점과 원리를 살피는 후보 행동은 N 정의와 맞지만 업무 및 학습에서 반복된다는 준거 타당도가 부족하다.","high"
"ENAKQ.work.voice","revise","3","2","3","4","evidence_mismatch","표현 시작 세부 점수와 회의 발언·문서 참여 행동을 분리해 측정하고 조직의 발언 기회와 권력 차이를 함께 모델링한다.","리더십·설득력과 분리한 경계는 좋지만 대표 E가 업무 발언 시작으로 나타나는 정도는 팀 문화와 권한에 크게 좌우된다.","high"
