protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-core-expert-kit.v0.1,R06,W1,15,NX-095,처음 들어간 일상 공간을 둘러볼 때,분위기에는 눈길이 짧게 머문다.,OE_AE,NONE,LOW,3,4,3,4,SIMILAR,ACCESS;LIMITER,NONE,공간 분위기에 머무는 정도를 묻지만 감각 접근과 짧게의 개인 기준이 개입한다.
m04-core-expert-kit.v0.1,R06,W1,16,NX-144,내 제안을 충분히 설명한 뒤 상대가 원하지 않는다고 말했을 때,그 선택을 그대로 둔다.,RO_RN,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,의견 차이 뒤 상대 선택 여지를 유지하는 반응이 직접적이며 규범성이 높다.
m04-core-expert-kit.v0.1,R06,W1,17,NX-136,일상에서 색과 빛이 어우러진 장면을 볼 때,잠깐 본 뒤 그대로 지나간다.,OE_AE,METHOD,LOW,4,4,2,4,SIMILAR,ACCESS;ABILITY;LIMITER,NONE,미적 인상에 머무르지 않는 반응이나 시각 접근과 지각 조건을 전제한다.
m04-core-expert-kit.v0.1,R06,W1,18,NX-146,내가 한 일에서 고칠 점을 들었을 때,내용을 듣는 동안 감정의 크기는 크게 달라지지 않는다.,ER_IR,NONE,LOW,4,4,4,4,LOW,SOCIAL_DESIRABILITY;LIMITER,NONE,비판 장면의 즉각적 감정 동요를 분명히 묻지만 낮은 동요가 바람직해 보인다.
m04-core-expert-kit.v0.1,R06,W1,19,NX-113,처음 만난 사람들과 가볍게 이야기할 때,대화 흐름에 함께할수록 기운이 붙는다.,SE_RE,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,낯선 사람과의 가벼운 대화에서 참여에 따른 에너지 변화를 직접 묻는다.
m04-core-expert-kit.v0.1,R06,W1,20,NX-149,해야 할 일이 평소보다 조금 늘었을 때,일이 늘어도 걱정이 오래 이어지지는 않는다.,ER_WD,NONE,LOW,4,4,4,4,LOW,NEGATION;CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,부담 증가 뒤 걱정 지속을 묻는 명확한 부정 방향 문항이다.
m04-core-expert-kit.v0.1,R06,W1,21,NX-010,상대의 실수 때문에 함께한 일에 문제가 생겼을 때,그 사람의 태도나 성격까지 함께 말한다.,RO_RN,ER_IR,LOW,4,3,4,4,HIGH,SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,행동 문제를 사람 전체 평가로 넓히는 반응은 존중 저하를 시사하나 분노 표현도 섞인다.
m04-core-expert-kit.v0.1,R06,W1,22,NX-098,누군가 힘들었던 일을 이야기할 때,그 사람이 어떤 마음이었는지에 주의가 간다.,RO_EC,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,힘든 사건에서 상대 마음에 먼저 주의를 두는 반응이 직접적이다.
m04-core-expert-kit.v0.1,R06,W1,23,NX-077,관심 있는 주제로 대화가 길어질 때,잠시 대화에서 벗어나고 싶어진다.,SE_RE,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,관심 주제라는 유리한 조건에서도 사회적 참여 에너지가 줄어드는 반응이다.
m04-core-expert-kit.v0.1,R06,W1,24,NX-006,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면 앞뒤에 무슨 일이 있었을지 떠올려본다.,OE_CI,METHOD,HIGH,4,4,3,4,SIMILAR,DIGITAL_ACCESS;ABILITY,NONE,주어진 장면 밖 이야기를 확장하지만 영상 매체 경험과 심상 능력을 전제한다.
m04-core-expert-kit.v0.1,R06,W1,25,NX-048,하늘이나 나무 같은 일상 풍경을 볼 때,색과 분위기가 주는 인상에 눈길이 간다.,OE_AE,METHOD,HIGH,4,4,2,4,SIMILAR,ACCESS;ABILITY,NONE,미적 인상에 대한 관심은 명확하나 시각 접근과 색 지각을 전제한다.
m04-core-expert-kit.v0.1,R06,W1,26,NX-062,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,이용에 필요한 방법만 확인한다.,OE_IE,NONE,LOW,4,4,2,4,SIMILAR,DIGITAL_ACCESS,NONE,필요 범위 밖 배경을 탐구하지 않는 반응이나 앱과 서비스 접근 경험을 전제한다.
m04-core-expert-kit.v0.1,R06,W1,27,NX-104,가깝지는 않은 사람이 힘든 일을 꺼낼 때,내 생각을 말하기 전에 그 사람이 어떤 마음인지 먼저 확인한다.,RO_EC,RO_RN,HIGH,4,3,4,4,HIGH,SOCIAL_DESIRABILITY;CULTURAL_ROLE,NONE,상대 마음을 먼저 확인하지만 공감적 응답 규범과 발화 예절의 영향을 받는다.
m04-core-expert-kit.v0.1,R06,W1,28,NX-110,해보려던 일이 한 번 잘되지 않았을 때,다음 시도를 생각할 때 걱정이 오래 이어지지 않는다.,ER_WD,NONE,LOW,4,4,4,4,LOW,NEGATION;CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,실패 뒤 재시도에 대한 걱정 지속을 직접 묻는다.
m04-core-expert-kit.v0.1,R06,W1,29,NX-137,비슷한 일을 반복해서 처리할 때,그때 필요한 순서로 진행한다.,SM_OS,NONE,LOW,3,4,3,4,HIGH,OCCUPATION;ADJACENT_CONSTRUCT,NONE,반복 가능한 구조보다 상황별 순서를 택하나 업무 경험과 적응성 판단이 섞일 수 있다.
m04-core-expert-kit.v0.1,R06,W1,30,NX-079,반복해서 쓰는 물건이나 자료를 둘 때,다시 찾을 자리를 정해둔다.,SM_OS,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,반복 탐색이 가능하도록 안정된 위치를 정하는 행동이 명확하다.
m04-core-expert-kit.v0.1,R06,W1,31,NX-120,사람들과 부담 없이 시간을 보낸 뒤,기운이 살아난 느낌이 든다.,SE_RE,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,부담이 낮은 사회적 시간 뒤 에너지 회복을 직접 묻는다.
m04-core-expert-kit.v0.1,R06,W1,32,NX-112,중요하게 생각하는 문제에서 의견이 다를 때,내 입장을 받아들이게 할 방법이 먼저 떠오른다.,RO_RN,SE_AI,LOW,3,3,4,4,HIGH,SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,상대 선택 여지보다 설득을 우선하지만 적극적 의견 표현과도 겹친다.
m04-core-expert-kit.v0.1,R06,W1,33,NX-085,여럿이 일을 나눠 맡았을 때,다른 사람이 물어볼 때 내 부분의 진행 상태를 확인한다.,SM_RL,NONE,LOW,4,4,3,4,HIGH,OCCUPATION;SOCIAL_DESIRABILITY,NONE,선제 확인이 아닌 요청 후 확인으로 역할 이행의 낮은 방향을 드러낸다.
m04-core-expert-kit.v0.1,R06,W1,34,NX-076,작은 불편이 짧은 시간 안에 반복될 때,처음보다 짜증이 빠르게 쌓인다.,ER_IR,NONE,HIGH,4,4,4,4,LOW,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,반복 좌절에서 감정이 빠르게 커지는 반응이 명확하다.
m04-core-expert-kit.v0.1,R06,W1,35,NX-082,함께 있던 사람이 평소보다 지쳐 보일 때,상대가 먼저 말을 꺼내면 그때 이야기를 듣는다.,RO_EC,NONE,LOW,3,3,4,4,HIGH,SOCIAL_DESIRABILITY;CULTURAL_ROLE;ADJACENT_CONSTRUCT,NONE,마음에 대한 선제 주의보다 대화 시작 조건을 묻고 있어 관계 예절과 주도성이 섞인다.
m04-core-expert-kit.v0.1,R06,W1,36,NX-021,여럿이 모였지만 대화가 시작되지 않았을 때,다른 사람이 대화를 시작한 뒤 참여한다.,SE_AI,SE_RE,LOW,3,3,4,4,SIMILAR,CULTURAL_ROLE;ADJACENT_CONSTRUCT,NONE,먼저 화제를 꺼내지 않는 반응이나 참여 에너지와 집단 발화 규범도 개입한다.
m04-core-expert-kit.v0.1,R06,W1,37,NX-116,상대와 의견이 달라 대화가 길어질 때,답답함과 짜증이 빠르게 커진다.,ER_IR,NONE,HIGH,4,4,4,4,LOW,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,의견 차이가 이어질 때 불편 감정이 빠르게 확대되는 반응이다.
m04-core-expert-kit.v0.1,R06,W1,38,NX-047,누군가 속상한 일과 해결할 문제를 함께 이야기할 때,원인과 해결할 부분이 먼저 눈에 들어온다.,RO_EC,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,마음과 해결 문제가 함께 있을 때 해결 쪽에 먼저 주의를 두는 문항이다.
m04-core-expert-kit.v0.1,R06,W1,39,NX-042,일상에서 음악을 들을 때,소리와 분위기가 주는 인상에 관심이 간다.,OE_AE,METHOD,HIGH,4,4,2,4,SIMILAR,ACCESS;ABILITY,NONE,소리의 미적 인상 관심을 직접 묻지만 청각 접근과 지각 차이를 전제한다.
m04-core-expert-kit.v0.1,R06,W1,40,NX-089,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 사람이 어떤 마음이었는지가 궁금해진다.,RO_EC,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY;CULTURAL_ROLE,NONE,의견 요청이 있어도 상대 마음에 먼저 주의를 두며 규범적 공감 기대가 강하다.
m04-core-expert-kit.v0.1,R06,W1,41,NX-030,현실과 다른 가벼운 가정을 접할 때,그 상황을 잠시 생각한 뒤 현재 내용으로 돌아온다.,OE_CI,NONE,LOW,3,4,4,4,SIMILAR,LIMITER,NONE,가정 장면을 길게 확장하지 않는 반응이나 잠시의 기준이 불명확하다.
m04-core-expert-kit.v0.1,R06,W1,42,NX-124,가보지 않은 공간에 대한 설명을 접할 때,그곳의 모습을 머릿속으로 그려본다.,OE_CI,METHOD,HIGH,4,4,3,4,SIMILAR,ABILITY,NONE,설명 밖 장면을 구성하는 경향을 묻지만 시각 심상 능력이 응답을 좌우할 수 있다.
m04-core-expert-kit.v0.1,R06,W1,43,NX-142,누군가 해결책을 묻지 않고 속상한 일을 이야기할 때,그 사람이 느낀 마음을 더 들어보고 싶어진다.,RO_EC,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,해결 요청이 없는 장면에서 상대 마음에 관심이 이어지는 반응이다.
m04-core-expert-kit.v0.1,R06,W1,44,NX-122,나중에 다시 쓸 자료를 보관할 때,지금 쓰는 곳과 가까운 곳에 둔다.,SM_OS,NONE,LOW,3,4,3,4,SIMILAR,ADJACENT_CONSTRUCT,NONE,지속 가능한 분류보다 현재의 편의를 택하는 듯하나 공간 제약과 사용 방식이 개입한다.
m04-core-expert-kit.v0.1,R06,W1,45,NX-051,익숙한 사람들과 대화가 이어질 때,기운이 점점 살아난다.,SE_RE,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,익숙한 사람과의 지속적 참여가 에너지를 높이는 반응이 명확하다.
m04-core-expert-kit.v0.1,R06,W1,46,NX-132,하나의 가벼운 가능성이 떠올랐을 때,뒤에 이어질 장면까지 펼쳐본다.,OE_CI,METHOD,HIGH,4,4,3,4,SIMILAR,ABILITY,NONE,하나의 가능성을 후속 장면으로 확장하나 심상 방식의 개인차가 있다.
m04-core-expert-kit.v0.1,R06,W1,47,NX-128,여럿이 간단한 선택을 미루고 있을 때,내가 먼저 선택지를 꺼낸다.,SE_AI,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,집단 선택에서 선택지를 먼저 표현하는 반응을 직접 묻는다.
m04-core-expert-kit.v0.1,R06,W1,48,NX-115,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,한 글의 설명으로 이해되면 다른 글은 더 살펴보지 않는다.,OE_IE,METHOD,LOW,4,4,2,4,HIGH,DIGITAL_ACCESS;EDUCATION,NONE,추가 근거 탐구의 낮은 방향이지만 인터넷 접근과 문해 경험을 요구한다.
m04-core-expert-kit.v0.1,R06,W1,49,NX-109,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,영상이나 대화를 이해할 만큼만 뜻을 확인한다.,OE_IE,NONE,LOW,4,4,3,4,HIGH,EDUCATION;ABILITY,NONE,필요한 범위까지만 개념을 확인하나 개념 학습과 이해 능력 차이가 개입한다.
m04-core-expert-kit.v0.1,R06,W1,50,NX-054,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 그 사람이 지금 어떤 마음일지가 궁금해진다.,RO_EC,NONE,HIGH,4,4,3,4,HIGH,DIGITAL_ACCESS;SOCIAL_DESIRABILITY,NONE,실패 소식에서 상대 마음을 먼저 보는 반응이나 메시지 이용 경험을 전제한다.
