opaque_item_id,candidate_id,target_domain,target_facet,keyed_direction,candidate_status,evidence_role,response_layer,score_role,situation_bucket,target_response_process,context_label,prompt_text,pair_key,wording_polarity,source_file
NX-011,ROEC-P03-A,RO,RO-EC,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,P03,REPORTED_FIRST_ORIENTATION,함께 있던 사람이 평소보다 지쳐 보일 때,그 사람이 괜찮은지 자연스럽게 신경이 간다.,RO-EC-P03,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-012,ERIR-C10,ER,ER-IR,LOW,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,반복 불편,반복 중 낮은 증가,작은 불편이 짧은 시간 안에 반복될 때,불편이 반복되어도 감정의 크기는 비슷하게 유지된다.,ER-IR-P05,affirmative,docs/NUANG_M03_ER_IR_CANDIDATE_ITEM_BANK.md
NX-013,ROEC-R01-G,RO,RO-EC,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,R01,REPORTED_FIRST_ORIENTATION,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 어떻게 하면 일이 나아질지가 궁금해진다.,RO-EC-R01,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-014,SMEP-C08,SM,SM-EP,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,여러 날 지속,기회·관심 기반 진행,여러 날에 걸쳐 해야 하는 일이 있을 때,손이 가는 날에 몰아서 진행한다.,SM-EP-P04,affirmative,docs/NUANG_M03_SM_EP_CANDIDATE_ITEM_BANK.md
NX-015,ERWD-C03,ER,ER-WD,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,늦은 반응,부정적 이유 반복,상대의 답이나 반응이 늦어질 때,좋지 않은 이유가 반복해서 떠오른다.,ER-WD-P02,affirmative,docs/NUANG_M03_ER_WD_CANDIDATE_ITEM_BANK.md
NX-016,RORN-P06-A,RO,RO-RN,HIGH,EXPLORATORY_COGNITIVE,PRIVATE_DETAIL_RESEARCH,ENACTED_RESPONSE,CORE_TRAIT_EVIDENCE,P06,ENACTED_RESPONSE,상대의 실수 때문에 함께한 일에 문제가 생겼을 때,고쳐야 할 행동을 중심으로 말한다.,RO-RN-P06,affirmative,docs/NUANG_M03_RO_RN_PROCESS_PAIR_CANDIDATE_BANK.md
NX-017,ROEC-P04-A,RO,RO-EC,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,P04,REPORTED_FIRST_ORIENTATION,가깝지는 않은 사람이 힘든 일을 꺼낼 때,그 사람이 느낀 마음보다 일어난 일이 먼저 궁금해진다.,RO-EC-P04,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-018,ROEC-R02-G,RO,RO-EC,LOW,EXPLORATORY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,R02,REPORTED_FIRST_ORIENTATION,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 일이 왜 생겼는지가 궁금해진다.,RO-EC-R02,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-019,SEAI-C05,SE,SE-AI,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,필요·조정,조정 필요 선행 표현,함께하는 방식에 작은 조정이 필요할 때,바꾸고 싶은 부분을 먼저 말한다.,SE-AI-P03,affirmative,docs/NUANG_M03_SE_AI_CANDIDATE_ITEM_BANK.md
NX-020,SERE-C11,SE,SE-RE,HIGH,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,관여 조절,상호작용 관여,부담 없는 소규모 대화가 이어질 때,자연스럽게 그 흐름에 함께하게 된다.,SE-RE-P06,affirmative,docs/NUANG_M03_SE_RE_CANDIDATE_ITEM_BANK.md
NX-021,SEAI-C10,SE,SE-AI,LOW,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,시작 공백,시작 후 참여,여럿이 모였지만 대화가 시작되지 않았을 때,다른 사람이 대화를 시작한 뒤 참여한다.,SE-AI-P05,affirmative,docs/NUANG_M03_SE_AI_CANDIDATE_ITEM_BANK.md
NX-022,OEAE-C04,OE,OE-AE,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,음악,청각 인상 짧은 관여,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,OE-AE-P02,affirmative,docs/NUANG_M03_OE_AE_CANDIDATE_ITEM_BANK.md
NX-023,OEIE-C11,OE,OE-IE,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,답 너머 알아보기,필요 범위 너머 탐색,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,OE-IE-P06,affirmative,docs/NUANG_M03_OE_IE_CANDIDATE_ITEM_BANK.md
NX-024,RORN-P03-B,RO,RO-RN,HIGH,PRIMARY_COGNITIVE,PRIVATE_DETAIL_RESEARCH,ENACTED_RESPONSE,CORE_TRAIT_EVIDENCE,P03,ENACTED_RESPONSE,중요하게 생각하는 문제에서 의견이 다를 때,내 의견을 말한 뒤 상대가 선택할 여지를 남긴다.,RO-RN-P03,affirmative,docs/NUANG_M03_RO_RN_PROCESS_PAIR_CANDIDATE_BANK.md
NX-025,OEIE-C05,OE,OE-IE,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,다른 설명 비교하기,대안 설명 비교,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,각 글이 어떤 근거로 설명하는지 비교해본다.,OE-IE-P03,affirmative,docs/NUANG_M03_OE_IE_CANDIDATE_ITEM_BANK.md
NX-026,SEAI-C09,SE,SE-AI,HIGH,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,시작 공백,대화 시작,여럿이 모였지만 대화가 시작되지 않았을 때,내가 먼저 이야기할 주제를 꺼낸다.,SE-AI-P05,affirmative,docs/NUANG_M03_SE_AI_CANDIDATE_ITEM_BANK.md
NX-027,SMEP-C01,SM,SM-EP,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,일찍 시작,마감 전 착수,미뤄도 당장 문제없는 할 일이 생겼을 때,해야 할 때가 가까워지기 전에 첫 행동을 시작한다.,SM-EP-P01,affirmative,docs/NUANG_M03_SM_EP_CANDIDATE_ITEM_BANK.md
NX-028,OEAE-C11,OE,OE-AE,HIGH,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,남은 인상,인상 재관여,마음에 드는 장면이나 소리를 접한 뒤,그때의 느낌을 다시 떠올려본다.,OE-AE-P06,affirmative,docs/NUANG_M03_OE_AE_CANDIDATE_ITEM_BANK.md
NX-029,RORN-P05-A,RO,RO-RN,HIGH,EXPLORATORY_COGNITIVE,PRIVATE_DETAIL_RESEARCH,REPORTED_FIRST_ORIENTATION,PROFILE_MODIFIER,P05,REPORTED_FIRST_ORIENTATION,사소한 선택에서 상대와 원하는 것이 다를 때,상대도 원하는 쪽을 선택할 수 있다는 생각이 든다.,RO-RN-P05,affirmative,docs/NUANG_M03_RO_RN_PROCESS_PAIR_CANDIDATE_BANK.md
NX-030,OECI-C08,OE,OE-CI,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,가벼운 가정,가정에 짧게 관여,현실과 다른 가벼운 가정을 접할 때,그 상황을 잠시 생각한 뒤 현재 내용으로 돌아온다.,OE-CI-P04,affirmative,docs/NUANG_M03_OE_CI_CANDIDATE_ITEM_BANK.md
NX-031,ROEC-R03-G,RO,RO-EC,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,R03,REPORTED_FIRST_ORIENTATION,함께 준비한 일이 잘 풀리지 않았을 때,처음에는 일이 어긋난 부분에 주의가 간다.,RO-EC-R03,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-032,SMRL-C08,SM,SM-RL,LOW,PRIMARY_COGNITIVE,CONDITIONAL_MAIN,SINGLE_RESPONSE,CONDITIONAL_TRAIT_EVIDENCE,재조율,임박 후 알림,맡은 일을 약속한 때까지 마치기 어려워졌을 때,약속한 때가 가까워진 뒤 상황을 알린다.,SM-RL-P04,affirmative,docs/NUANG_M03_SM_RL_CANDIDATE_ITEM_BANK.md
NX-033,SMRL-C12,SM,SM-RL,LOW,EXPLORATORY_COGNITIVE,CONDITIONAL_MAIN,SINGLE_RESPONSE,CONDITIONAL_TRAIT_EVIDENCE,작은 약속,자연 회상 기반 이행,금방 끝낼 수 있는 부탁을 들어주기로 했을 때,다시 생각났을 때 처리한다.,SM-RL-P06,affirmative,docs/NUANG_M03_SM_RL_CANDIDATE_ITEM_BANK.md
NX-034,RORN-P04-A,RO,RO-RN,HIGH,PRIMARY_COGNITIVE,PRIVATE_DETAIL_RESEARCH,REPORTED_FIRST_ORIENTATION,PROFILE_MODIFIER,P04,REPORTED_FIRST_ORIENTATION,의견 충돌이 길어져 답답해졌을 때,상대 자체와 지금 의견의 문제는 다르다는 생각이 든다.,RO-RN-P04,affirmative,docs/NUANG_M03_RO_RN_PROCESS_PAIR_CANDIDATE_BANK.md
NX-035,OEIE-C10,OE,OE-IE,LOW,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,정보 연결하기,현재 정보에만 관여,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,지금 들은 설명에만 관심을 둔다.,OE-IE-P05,limiter,docs/NUANG_M03_OE_IE_CANDIDATE_ITEM_BANK.md
NX-036,SEAI-C11,SE,SE-AI,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,정보 조율,조율 정보 선행 제시,여럿의 일정을 맞출 때,내가 가능한 시간을 먼저 알린다.,SE-AI-P06,affirmative,docs/NUANG_M03_SE_AI_CANDIDATE_ITEM_BANK.md
NX-037,ERIR-C02,ER,ER-IR,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,사소한 좌절,느린 감정 변화,사소한 일이 생각대로 되지 않을 때,불편해도 감정의 크기는 천천히 변한다.,ER-IR-P01,affirmative,docs/NUANG_M03_ER_IR_CANDIDATE_ITEM_BANK.md
NX-038,OECI-C01,OE,OE-CI,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,이야기 이어보기,자발적 후속 장면 생성,이야기의 다음 내용을 알기 전,이어질 장면을 머릿속으로 떠올려본다.,OE-CI-P01,affirmative,docs/NUANG_M03_OE_CI_CANDIDATE_ITEM_BANK.md
NX-039,ERWD-C08,ER,ER-WD,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,불확실한 선택,낮은 행동 방해,결과를 확신하기 어려운 선택을 해야 할 때,걱정이 생겨도 필요한 시점에는 결정을 내린다.,ER-WD-P04,affirmative,docs/NUANG_M03_ER_WD_CANDIDATE_ITEM_BANK.md
NX-040,SMOS-C09,SM,SM-OS,HIGH,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,자료 보관,검색 가능한 분류,나중에 다시 쓸 자료를 보관할 때,종류나 쓰임에 따라 찾을 곳을 나눈다.,SM-OS-P05,affirmative,docs/NUANG_M03_SM_OS_CANDIDATE_ITEM_BANK.md
NX-041,ROEC-P02-B,RO,RO-EC,LOW,PRIMARY_COGNITIVE,PROCESS_PROFILE_MODIFIER,ENACTED_RESPONSE,PROFILE_MODIFIER,P02,ENACTED_RESPONSE,누군가 힘들었던 일을 이야기할 때,무슨 일이 있었는지부터 확인한다.,RO-EC-P02,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-042,OEAE-C03,OE,OE-AE,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,음악,청각 인상 관심,일상에서 음악을 들을 때,소리와 분위기가 주는 인상에 관심이 간다.,OE-AE-P02,affirmative,docs/NUANG_M03_OE_AE_CANDIDATE_ITEM_BANK.md
NX-043,ERIR-C04,ER,ER-IR,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,의견 차이,갈등 중 낮은 변화,상대와 의견이 달라 대화가 길어질 때,의견 차이가 이어져도 감정의 크기는 크게 달라지지 않는다.,ER-IR-P02,negated,docs/NUANG_M03_ER_IR_CANDIDATE_ITEM_BANK.md
NX-044,ROEC-P01-B,RO,RO-EC,HIGH,PRIMARY_COGNITIVE,PROCESS_PROFILE_MODIFIER,ENACTED_RESPONSE,PROFILE_MODIFIER,P01,ENACTED_RESPONSE,누군가 속상한 일과 해결할 문제를 함께 이야기할 때,해결 방법을 말하기 전에 상대가 어떤 마음인지 먼저 확인한다.,RO-EC-P01,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-045,SMEP-C10,SM,SM-EP,LOW,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,작은 마무리,필요 시점 기반 완료,끝내기까지 작은 마무리만 남았을 때,필요해지는 시점까지 남은 부분을 그대로 둔다.,SM-EP-P05,affirmative,docs/NUANG_M03_SM_EP_CANDIDATE_ITEM_BANK.md
NX-046,SMRL-C09,SM,SM-RL,HIGH,EXPLORATORY_COGNITIVE,CONDITIONAL_MAIN,SINGLE_RESPONSE,CONDITIONAL_TRAIT_EVIDENCE,내용 재확인,합의 재확인,다른 사람과 정한 내용이 여러 가지일 때,내가 맡은 내용과 시점을 다시 확인한다.,SM-RL-P05,affirmative,docs/NUANG_M03_SM_RL_CANDIDATE_ITEM_BANK.md
NX-047,ROEC-P01-A,RO,RO-EC,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,P01,REPORTED_FIRST_ORIENTATION,누군가 속상한 일과 해결할 문제를 함께 이야기할 때,원인과 해결할 부분이 먼저 눈에 들어온다.,RO-EC-P01,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-048,OEAE-C05,OE,OE-AE,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,일상 풍경,환경 인상 관심,하늘이나 나무 같은 일상 풍경을 볼 때,색과 분위기가 주는 인상에 눈길이 간다.,OE-AE-P03,affirmative,docs/NUANG_M03_OE_AE_CANDIDATE_ITEM_BANK.md
NX-049,ERIR-C05,ER,ER-IR,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,작은 문제,즉각 동요,하던 중 예상하지 못한 작은 문제가 생겼을 때,불편한 감정이 한꺼번에 올라온다.,ER-IR-P03,affirmative,docs/NUANG_M03_ER_IR_CANDIDATE_ITEM_BANK.md
NX-050,SEAI-C07,SE,SE-AI,HIGH,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,방향 불명확,과정 제안 시작,공동 활동의 다음 순서가 정해지지 않았을 때,진행할 방법을 먼저 제안한다.,SE-AI-P04,affirmative,docs/NUANG_M03_SE_AI_CANDIDATE_ITEM_BANK.md
NX-051,SERE-C01,SE,SE-RE,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,익숙한 대화,교류 중 활성화,익숙한 사람들과 대화가 이어질 때,기운이 점점 살아난다.,SE-RE-P01,affirmative,docs/NUANG_M03_SE_RE_CANDIDATE_ITEM_BANK.md
NX-052,SMOS-C05,SM,SM-OS,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,반복 순서,반복 절차 생성,비슷한 일을 반복해서 처리할 때,다음에도 따를 수 있는 순서를 만들어둔다.,SM-OS-P03,affirmative,docs/NUANG_M03_SM_OS_CANDIDATE_ITEM_BANK.md
NX-053,ERWD-C02,ER,ER-WD,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,불확실한 대기,짧은 걱정 지속,결과가 아직 정해지지 않은 일을 기다릴 때,잘못될 가능성을 오래 생각하지 않는다.,ER-WD-P01,negated,docs/NUANG_M03_ER_WD_CANDIDATE_ITEM_BANK.md
NX-054,ROEC-R01-A,RO,RO-EC,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,R01,REPORTED_FIRST_ORIENTATION,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 그 사람이 지금 어떤 마음일지가 궁금해진다.,RO-EC-R01,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-055,SEAI-C02,SE,SE-AI,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,결정 지연,제안 후 의견 추가,여럿이 간단한 선택을 정할 때,다른 사람이 선택지를 꺼낸 뒤 내 의견을 보탠다.,SE-AI-P01,affirmative,docs/NUANG_M03_SE_AI_CANDIDATE_ITEM_BANK.md
NX-056,SMEP-C02,SM,SM-EP,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,일찍 시작,마감 계기 착수,미뤄도 당장 문제없는 할 일이 생겼을 때,해야 할 때가 가까워져야 첫 행동을 시작한다.,SM-EP-P01,affirmative,docs/NUANG_M03_SM_EP_CANDIDATE_ITEM_BANK.md
NX-057,OECI-C10,OE,OE-CI,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,중간 장면 이어보기,전후 서사를 따로 생성하지 않음,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면만 보고 앞뒤 이야기는 따로 떠올려보지 않는다.,OE-CI-P05,negated,docs/NUANG_M03_OE_CI_CANDIDATE_ITEM_BANK.md
NX-058,ROEC-R03-A,RO,RO-EC,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,REPORTED_FIRST_ORIENTATION,CORE_TRAIT_EVIDENCE,R03,REPORTED_FIRST_ORIENTATION,함께 준비한 일이 잘 풀리지 않았을 때,처음에는 함께한 사람들의 마음에 주의가 간다.,RO-EC-R03,affirmative,docs/NUANG_M03_RO_EC_PROCESS_PAIR_CANDIDATE_BANK.md
NX-059,SMOS-C11,SM,SM-OS,HIGH,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,확인 순서,순서 기반 확인,여러 단계를 거친 일을 마치기 전에,빠뜨린 부분이 없는지 정해둔 순서로 살핀다.,SM-OS-P06,affirmative,docs/NUANG_M03_SM_OS_CANDIDATE_ITEM_BANK.md
NX-060,ERWD-C07,ER,ER-WD,HIGH,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,불확실한 선택,걱정 유발 결정 지연,결과를 확신하기 어려운 선택을 해야 할 때,같은 걱정을 되짚느라 결정을 미룬다.,ER-WD-P04,affirmative,docs/NUANG_M03_ER_WD_CANDIDATE_ITEM_BANK.md
NX-061,SMRL-C04,SM,SM-RL,LOW,PRIMARY_COGNITIVE,CONDITIONAL_MAIN,SINGLE_RESPONSE,CONDITIONAL_TRAIT_EVIDENCE,약속 기억,상대 알림 기반 이행,다른 사람에게 해주기로 한 일이 있을 때,상대가 다시 말해주면 챙긴다.,SM-RL-P02,affirmative,docs/NUANG_M03_SM_RL_CANDIDATE_ITEM_BANK.md
NX-062,OEIE-C08,OE,OE-IE,LOW,EXPLORATORY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,규칙의 배경 알아보기,적용 방법에서 탐색 종료,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,이용에 필요한 방법만 확인한다.,OE-IE-P04,limiter,docs/NUANG_M03_OE_IE_CANDIDATE_ITEM_BANK.md
NX-063,SERE-C02,SE,SE-RE,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,익숙한 대화,교류 중 회복 필요,익숙한 사람들과 한동안 이야기를 나눌 때,혼자 조용히 있을 시간이 필요해진다.,SE-RE-P01,affirmative,docs/NUANG_M03_SE_RE_CANDIDATE_ITEM_BANK.md
NX-064,RORN-P04-B,RO,RO-RN,LOW,PRIMARY_COGNITIVE,PRIVATE_DETAIL_RESEARCH,ENACTED_RESPONSE,CORE_TRAIT_EVIDENCE,P04,ENACTED_RESPONSE,의견 충돌이 길어져 답답해졌을 때,상대의 태도나 성격까지 문제로 말한다.,RO-RN-P04,affirmative,docs/NUANG_M03_RO_RN_PROCESS_PAIR_CANDIDATE_BANK.md
NX-065,SMRL-C05,SM,SM-RL,HIGH,PRIMARY_COGNITIVE,CONDITIONAL_MAIN,SINGLE_RESPONSE,CONDITIONAL_TRAIT_EVIDENCE,이어서 할 사람,사전 전달,내가 마쳐야 다른 사람이 이어갈 수 있을 때,상대가 기다리기 전에 필요한 부분을 넘긴다.,SM-RL-P03,affirmative,docs/NUANG_M03_SM_RL_CANDIDATE_ITEM_BANK.md
NX-066,SMOS-C08,SM,SM-OS,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,가까운 일정,기회 기반 시점,이번 주 안에 할 일이 생겼을 때,할 수 있는 때가 생기면 시작한다.,SM-OS-P04,affirmative,docs/NUANG_M03_SM_OS_CANDIDATE_ITEM_BANK.md
NX-067,SERE-C08,SE,SE-RE,LOW,PRIMARY_COGNITIVE,CORE_BASELINE,SINGLE_RESPONSE,CORE_TRAIT_EVIDENCE,교류 이후,교류 후 회복 필요,사람들과 부담 없이 시간을 보낸 뒤,혼자 조용히 회복할 시간이 필요해진다.,SE-RE-P04,affirmative,docs/NUANG_M03_SE_RE_CANDIDATE_ITEM_BANK.md
