protocol_version,reviewer_slot,sequence,opaque_item_id,context_label,prompt_text,target_facet,keyed_direction,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-oe-expert-kit.v0.1,R02,13,OX-018,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,OE-IE,HIGH,필요 범위 너머 탐색,,,,,,
m04-oe-expert-kit.v0.1,R02,14,OX-035,처음 들어간 일상 공간을 둘러볼 때,그곳이 주는 분위기에 관심이 간다.,OE-AE,HIGH,공간 인상 관심,,,,,,
m04-oe-expert-kit.v0.1,R02,15,OX-032,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,한 글의 설명으로 이해되면 다른 글은 더 살펴보지 않는다.,OE-IE,LOW,단일 설명에서 탐색 종료,,,,,,
m04-oe-expert-kit.v0.1,R02,16,OX-011,평범한 일상 장면을 보고 있을 때,다르게 이어질 장면을 떠올려본다.,OE-CI,HIGH,일상 장면의 다른 전개 생성,,,,,,
m04-oe-expert-kit.v0.1,R02,17,OX-022,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,영상이나 대화를 이해할 만큼만 뜻을 확인한다.,OE-IE,LOW,필요한 의미 범위에서 탐색 종료,,,,,,
m04-oe-expert-kit.v0.1,R02,18,OX-025,마음에 드는 장면이나 소리를 접한 뒤,그때의 느낌을 다시 떠올려본다.,OE-AE,HIGH,인상 재관여,,,,,,
m04-oe-expert-kit.v0.1,R02,19,OX-027,처음 보는 기능이 있는 생활용품을 사용할 때,왜 그런 방식으로 작동하는지 궁금해진다.,OE-IE,HIGH,작동 이유 관심,,,,,,
m04-oe-expert-kit.v0.1,R02,20,OX-007,영상이나 사진의 한 장면을 볼 때,그 인상은 짧게 지나간다.,OE-AE,LOW,표현물 인상 짧은 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,21,OX-015,일상에서 음악을 들을 때,소리와 분위기가 주는 인상에 관심이 간다.,OE-AE,HIGH,청각 인상 관심,,,,,,
m04-oe-expert-kit.v0.1,R02,22,OX-001,이야기의 다음 내용을 알기 전,이어질 장면을 머릿속으로 떠올려본다.,OE-CI,HIGH,자발적 후속 장면 생성,,,,,,
m04-oe-expert-kit.v0.1,R02,23,OX-005,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면 앞뒤에 무슨 일이 있었을지 떠올려본다.,OE-CI,HIGH,장면 전후 서사 생성,,,,,,
m04-oe-expert-kit.v0.1,R02,24,OX-036,하늘이나 나무 같은 일상 풍경을 볼 때,잠시 본 뒤 하던 일로 관심이 돌아간다.,OE-AE,LOW,환경 인상 짧은 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,25,OX-024,일상에서 색과 빛이 어우러진 장면을 볼 때,잠깐 본 뒤 그대로 지나간다.,OE-AE,LOW,시각 인상 짧은 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,26,OX-002,하나의 가벼운 가능성이 떠올랐을 때,뒤에 이어질 장면까지 펼쳐본다.,OE-CI,HIGH,가능성 연쇄 확장,,,,,,
m04-oe-expert-kit.v0.1,R02,27,OX-033,가보지 않은 공간에 대한 설명을 접할 때,그곳의 모습을 머릿속으로 그려본다.,OE-CI,HIGH,공간 표상 생성,,,,,,
m04-oe-expert-kit.v0.1,R02,28,OX-016,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,왜 그렇게 정해졌는지 배경이 궁금해진다.,OE-IE,HIGH,규칙 배경 관심,,,,,,
m04-oe-expert-kit.v0.1,R02,29,OX-028,현실과 다른 가벼운 가정을 접할 때,그 상황을 잠시 생각한 뒤 현재 내용으로 돌아온다.,OE-CI,LOW,가정에 짧게 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,30,OX-012,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,예전에 들은 내용과 어떻게 연결되는지 생각해본다.,OE-IE,HIGH,정보 연결 탐색,,,,,,
m04-oe-expert-kit.v0.1,R02,31,OX-021,궁금했던 질문의 답을 찾았을 때,답을 확인한 뒤에는 관련 내용을 더 찾아보지 않는다.,OE-IE,LOW,답 확인에서 탐색 종료,,,,,,
m04-oe-expert-kit.v0.1,R02,32,OX-029,처음 들어간 일상 공간을 둘러볼 때,분위기에는 눈길이 짧게 머문다.,OE-AE,LOW,공간 인상 짧은 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,33,OX-010,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,각 글이 어떤 근거로 설명하는지 비교해본다.,OE-IE,HIGH,대안 설명 비교,,,,,,
m04-oe-expert-kit.v0.1,R02,34,OX-013,평범한 일상 장면을 보고 있을 때,보이는 장면만 살펴보고 그대로 지나간다.,OE-CI,LOW,현재 장면에 머무는 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,35,OX-020,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,그 개념이 정확히 무엇을 뜻하는지 더 알아본다.,OE-IE,HIGH,개념 의미 탐색,,,,,,
m04-oe-expert-kit.v0.1,R02,36,OX-003,마음에 드는 장면이나 소리를 접한 뒤,곧 다른 생각으로 관심이 옮겨간다.,OE-AE,LOW,인상 이탈,,,,,,
