protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,target_domain,target_facet,keyed_direction,response_layer,evidence_role,score_role,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-core-expert-kit.v0.1,R06,W3,11,NX-026,여럿이 모였지만 대화가 시작되지 않았을 때,내가 먼저 이야기할 주제를 꺼낸다.,SE,SE-AI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,대화 시작,4,4,IMPORTANT,3,COPY_REVISE,대화가 없을 때 주제를 먼저 꺼내는 것은 SE-AI 높은 방향을 직접 묻는다. 연령과 위계 및 진행자 역할 효과를 줄이도록 동등한 참여자 상황을 명시해야 한다.
m04-core-expert-kit.v0.1,R06,W3,12,NX-043,상대와 의견이 달라 대화가 길어질 때,의견 차이가 이어져도 감정의 크기는 크게 달라지지 않는다.,ER,ER-IR,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,갈등 중 낮은 변화,4,4,IMPORTANT,4,KEEP,의견 차이가 이어져도 감정 변화가 크지 않은 것은 ER-IR 낮은 방향을 명확히 묻는다. 침착함의 바람직성은 있으나 내적 상태를 묻고 민감한 내용 공개는 없다.
m04-core-expert-kit.v0.1,R06,W3,13,NX-044,누군가 속상한 일과 해결할 문제를 함께 이야기할 때,해결 방법을 말하기 전에 상대가 어떤 마음인지 먼저 확인한다.,RO,RO-EC,HIGH,ENACTED_RESPONSE,PROCESS_PROFILE_MODIFIER,PROFILE_MODIFIER,ENACTED_RESPONSE,4,4,IMPORTANT,3,HOLD,해결책 전에 상대 마음을 확인하는 행동은 RO-EC 높은 과정과 잘 맞는다. 공감적 정답과 돌봄 문화 영향이 강하므로 프로필 수정자로 DIF와 사회적 바람직성 자료를 확인한 뒤 채택해야 한다.
m04-core-expert-kit.v0.1,R06,W3,14,NX-022,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,OE,OE-AE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,청각 인상 짧은 관여,4,4,SOME,1,COPY_REVISE,음악 인상에 짧게 머무는 것은 OE-AE 낮은 방향이나 청각 장애와 청취 환경이 응답을 지배한다. 접근 가능한 감각 경험을 선택할 수 있는 다감각 문항으로 바꿔야 한다.
m04-core-expert-kit.v0.1,R06,W3,15,NX-018,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 일이 왜 생겼는지가 궁금해진다.,RO,RO-EC,LOW,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,4,4,SOME,3,HOLD,의견 요청 장면에서 원인이 먼저 궁금한 것은 RO-EC 낮은 방향과 맞는다. 문제 해결형 응답을 덜 따뜻하다고 낙인찍는 문화 규범이 있어 핵심 증거로 쓰기 전 편향 검증이 필요하다.
m04-core-expert-kit.v0.1,R06,W3,16,NX-140,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,OE,OE-CI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,비위협 가정의 전개 확장,4,4,IMPORTANT,2,COPY_REVISE,가벼운 가정의 장면을 이어가는 것은 OE-CI 높은 방향과 맞지만 장면 중심 표현이 시각 심상 능력을 요구한다. 사건과 생각 및 말로 이어지는 가능성도 포함해야 한다.
m04-core-expert-kit.v0.1,R06,W3,17,NX-106,가보지 않은 공간에 대한 설명을 접할 때,설명된 내용까지만 생각하고 넘어간다.,OE,OE-CI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,설명 범위에서 사고 종료,4,4,SOME,2,COPY_REVISE,설명된 범위에서 사고를 끝내는 것은 OE-CI 낮은 방향이다. 시각적 공간 표상 능력이 섞이지 않도록 설명 밖에서 일어날 일을 더 생각하는지로 수정해야 한다.
m04-core-expert-kit.v0.1,R06,W3,18,NX-005,누군가 해결책을 묻지 않고 속상한 일을 이야기할 때,이야기의 원인과 결과가 먼저 궁금해진다.,RO,RO-EC,LOW,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,4,4,IMPORTANT,4,KEEP,해결 요청이 없는 속상한 이야기에서 원인과 결과가 먼저 궁금한 반응은 RO-EC 낮은 방향을 중립적으로 포착한다. 사람 마음을 무시한다고 단정하지 않아 낙인 위험도 상대적으로 낮다.
m04-core-expert-kit.v0.1,R06,W3,19,NX-040,나중에 다시 쓸 자료를 보관할 때,종류나 쓰임에 따라 찾을 곳을 나눈다.,SM,SM-OS,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,검색 가능한 분류,4,4,IMPORTANT,4,KEEP,자료를 종류와 쓰임에 따라 찾을 곳으로 나누는 행동은 SM-OS 높은 방향을 직접 보여준다. 특정 직업과 디지털 도구를 전제하지 않아 생활 전반에 적용 가능하다.
m04-core-expert-kit.v0.1,R06,W3,20,NX-063,익숙한 사람들과 한동안 이야기를 나눌 때,혼자 조용히 있을 시간이 필요해진다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,교류 중 회복 필요,4,4,SOME,4,KEEP,익숙한 사람과 대화한 뒤 혼자 조용히 있을 필요는 SE-RE 낮은 방향의 에너지 회복을 직접 묻는다. 연애나 동거 여부 같은 관계 상태를 요구하지 않는다.
m04-core-expert-kit.v0.1,R06,W3,21,NX-070,하나의 가벼운 가능성이 떠올랐을 때,처음 떠오른 장면만 생각하고 다른 일로 넘어간다.,OE,OE-CI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,첫 가능성에 머무는 관여,4,4,SOME,2,COPY_REVISE,첫 장면 뒤 가능성을 확장하지 않는 것은 OE-CI 낮은 방향과 맞는다. 시각 심상 능력이 낮은 사용자도 답하도록 장면 대신 생각이나 이야기의 다음 가능성을 사용해야 한다.
m04-core-expert-kit.v0.1,R06,W3,22,NX-055,여럿이 간단한 선택을 정할 때,다른 사람이 선택지를 꺼낸 뒤 내 의견을 보탠다.,SE,SE-AI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,제안 후 의견 추가,4,4,SOME,3,COPY_REVISE,다른 사람이 선택지를 낸 뒤 의견을 보태는 것은 SE-AI 낮은 방향이다. 발언 순서가 위계와 예절 문화에 좌우되지 않도록 동등한 참여자와 열린 발언 기회를 명시해야 한다.
m04-core-expert-kit.v0.1,R06,W3,23,NX-025,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,각 글이 어떤 근거로 설명하는지 비교해본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,대안 설명 비교,4,4,IMPORTANT,1,COPY_REVISE,두 글의 근거를 비교하는 것은 OE-IE 높은 방향이나 인터넷 접근과 문해 교육 및 비교 읽기 능력을 요구한다. 구두로 들은 두 설명 등 비문자 대안을 포함해야 핵심 증거로 공정하다.
m04-core-expert-kit.v0.1,R06,W3,24,NX-068,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,그 개념이 정확히 무엇을 뜻하는지 더 알아본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,개념 의미 탐색,4,4,IMPORTANT,2,COPY_REVISE,처음 듣는 개념의 정확한 뜻을 더 알아보는 것은 OE-IE 높은 방향이다. 교육 경험과 검색 접근 능력이 섞이므로 생활 주제에서 다른 이유를 더 묻는 행동으로 범위를 넓혀야 한다.
m04-core-expert-kit.v0.1,R06,W3,25,NX-013,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 어떻게 하면 일이 나아질지가 궁금해진다.,RO,RO-EC,LOW,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,4,4,SOME,3,COPY_REVISE,가까운 사람의 실패 소식에서 해결이 먼저 궁금한 것은 RO-EC 낮은 방향이고 가까운 사람은 특정 관계 상태를 뜻하지 않는다. 메시지 접근 편향을 줄이도록 소식을 들었을 때로 바꿔야 한다.
m04-core-expert-kit.v0.1,R06,W3,26,NX-141,사소한 선택에서 상대와 원하는 것이 다를 때,내가 원하는 쪽으로 정할 이유가 먼저 떠오른다.,RO,RO-RN,LOW,REPORTED_FIRST_ORIENTATION,PRIVATE_DETAIL_RESEARCH,PROFILE_MODIFIER,REPORTED_FIRST_ORIENTATION,2,3,REDUNDANT,2,EXCLUDE,자기 선호의 이유가 먼저 떠오르는 것만으로 상대 선택 여지를 침해했다고 볼 수 없다. 자기주장과 문화적 의사결정 방식이 섞이고 더 직접적인 RO-RN 행동 문항이 있어 제외가 타당하다.
m04-core-expert-kit.v0.1,R06,W3,27,NX-036,여럿의 일정을 맞출 때,내가 가능한 시간을 먼저 알린다.,SE,SE-AI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,조율 정보 선행 제시,3,4,SOME,2,COPY_REVISE,가능 시간을 먼저 알리는 것은 SE-AI 높은 방향과 관련되지만 일정 조율 효율과 역할 분담이 발화 순서를 정한다. 단순 정보 전달이 아닌 선택지나 의견 제안으로 수정해야 한다.
m04-core-expert-kit.v0.1,R06,W3,28,NX-118,여럿이 편하게 이야기를 나눌 때,참여하는 시간을 짧게 조절하고 싶어진다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,참여 강도 조절,4,4,IMPORTANT,4,KEEP,편한 대화에서도 참여 시간을 짧게 하고 싶은 반응은 SE-RE 낮은 방향의 에너지 조절을 직접 묻는다. 사회적 능력과 관계 수를 묻지 않아 낙인 위험이 낮다.
m04-core-expert-kit.v0.1,R06,W3,29,NX-130,처음 보는 기능이 있는 생활용품을 사용할 때,어떻게 쓰는지만 확인하고 바로 사용한다.,OE,OE-IE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,사용 범위에서 탐색 종료,4,4,SOME,4,KEEP,처음 보는 생활용품에서 사용법만 확인하고 바로 쓰는 것은 OE-IE 낮은 방향을 명확히 보여준다. 전문 교육과 디지털 접근을 요구하지 않는 일상 맥락이라 포괄성이 좋다.
m04-core-expert-kit.v0.1,R06,W3,30,NX-133,궁금했던 질문의 답을 찾았을 때,답을 확인한 뒤에는 관련 내용을 더 찾아보지 않는다.,OE,OE-IE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,답 확인에서 탐색 종료,4,4,IMPORTANT,3,KEEP,답 확인 뒤 관련 내용을 더 찾지 않는 것은 OE-IE 낮은 방향을 직접 묻는다. 탐구가 더 유능해 보이는 바람직성은 있으나 특정 학력이나 직업 장면을 전제하지 않는다.
m04-core-expert-kit.v0.1,R06,W3,31,NX-028,마음에 드는 장면이나 소리를 접한 뒤,그때의 느낌을 다시 떠올려본다.,OE,OE-AE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,인상 재관여,3,4,SOME,1,CONSTRUCT_REWRITE,감각 인상을 다시 떠올리는 것은 OE-AE 관심뿐 아니라 기억 능력과 감각 접근을 직접 요구한다. 접근 가능한 인상에 관심이 다시 가는 현재 행동으로 바꿔 회상 능력을 제거해야 한다.
m04-core-expert-kit.v0.1,R06,W3,32,NX-143,이번 주 안에 할 일이 생겼을 때,언제 할지 대략적인 때를 정해둔다.,SM,SM-OS,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,시점 구조화,4,4,IMPORTANT,3,KEEP,이번 주 할 일의 대략적 시점을 정하는 것은 SM-OS 높은 방향의 시점 구조화를 직접 묻는다. 실행 착수와 일부 겹치지만 계획 행동이 명시되고 직업 경험을 요구하지 않는다.
m04-core-expert-kit.v0.1,R06,W3,33,NX-111,해야 하지만 당장 재미나 보상이 적은 일을 할 때,한 번에 많이 하지 못해도 조금씩 이어간다.,SM,SM-EP,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,낮은 보상에서 지속,4,4,IMPORTANT,4,KEEP,보상이 적은 일도 조금씩 이어가는 것은 SM-EP 높은 방향을 직접 보여준다. 부지런함의 사회적 바람직성은 있으나 접근이나 능력 전제는 낮다.
m04-core-expert-kit.v0.1,R06,W3,34,NX-037,사소한 일이 생각대로 되지 않을 때,불편해도 감정의 크기는 천천히 변한다.,ER,ER-IR,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,느린 감정 변화,4,4,SOME,4,KEEP,사소한 좌절에서 감정이 천천히 변하는 것은 ER-IR 낮은 방향과 맞는다. 임상 진단과 민감한 사건을 요구하지 않는 저강도 장면이라 핵심 보조로 적절하다.
m04-core-expert-kit.v0.1,R06,W3,35,NX-061,다른 사람에게 해주기로 한 일이 있을 때,상대가 다시 말해주면 챙긴다.,SM,SM-RL,LOW,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,상대 알림 기반 이행,2,4,SOME,1,CONSTRUCT_REWRITE,재알림 뒤 약속을 챙기는 것은 SM-RL 낮은 방향처럼 보이지만 기억 능력과 상대의 알림 접근이 응답을 지배한다. 조건부 증거라도 합의를 스스로 확인하는지로 다시 써야 한다.
m04-core-expert-kit.v0.1,R06,W3,36,NX-127,내가 마쳐야 다른 사람이 이어갈 수 있을 때,상대가 요청한 뒤 필요한 부분을 넘긴다.,SM,SM-RL,LOW,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,요청 후 전달,4,4,IMPORTANT,3,COPY_REVISE,요청 뒤 필요한 부분을 넘기는 것은 SM-RL 낮은 방향을 직접 보여준다. 직업식 협업 경험에 치우치지 않도록 생활 역할과 공동 활동 사례를 포함해야 한다.
m04-core-expert-kit.v0.1,R06,W3,37,NX-096,영상이나 사진의 한 장면을 볼 때,그 장면이 주는 인상을 곱씹어본다.,OE,OE-AE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,표현물 인상 성찰,4,4,SOME,1,COPY_REVISE,영상이나 사진 인상을 곱씹는 것은 OE-AE 높은 방향과 맞지만 시각 장애와 디지털 접근 차이가 직접 작용한다. 접근 가능한 표현물이나 감각 경험을 고르게 수정해야 한다.
m04-core-expert-kit.v0.1,R06,W3,38,NX-119,며칠 쉬었다가 다시 이어야 하는 일이 있을 때,다시 하고 싶은 마음이나 계기가 생길 때 재개한다.,SM,SM-EP,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,내적·외적 계기 재개,4,4,IMPORTANT,3,COPY_REVISE,중단 뒤 마음이나 계기가 생겨야 재개하는 것은 SM-EP 낮은 방향을 묻는다. 우울과 만성 피로 및 외부 시간 제약이 섞이지 않도록 다시 할 수 있는 여건이 같은 상황을 명시해야 한다.
m04-core-expert-kit.v0.1,R06,W3,39,NX-081,사소한 일이 꼬여 감정이 올라온 뒤,다음 일을 할 때는 감정의 크기가 줄어든다.,ER,ER-IR,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,짧은 carryover,4,4,IMPORTANT,4,KEEP,좌절 뒤 다음 일을 할 때 감정이 줄어드는 것은 ER-IR 낮은 방향의 짧은 지속을 직접 측정한다. 감정이 없다고 요구하지 않아 낙인과 억제 규범 위험이 낮다.
m04-core-expert-kit.v0.1,R06,W3,40,NX-034,의견 충돌이 길어져 답답해졌을 때,상대 자체와 지금 의견의 문제는 다르다는 생각이 든다.,RO,RO-RN,HIGH,REPORTED_FIRST_ORIENTATION,PRIVATE_DETAIL_RESEARCH,PROFILE_MODIFIER,REPORTED_FIRST_ORIENTATION,4,4,IMPORTANT,3,KEEP,상대 자체와 현재 의견 문제를 분리하는 생각은 RO-RN 높은 방향을 잘 포착한다. 사회적 바람직성은 높지만 비공개 프로필 수정자이고 사람 전체 낙인을 피하는 핵심 내용이다.
m04-core-expert-kit.v0.1,R06,W3,41,NX-100,하던 중 예상하지 못한 작은 문제가 생겼을 때,문제를 확인하는 동안 감정 변화는 크지 않다.,ER,ER-IR,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,확인 중 낮은 동요,4,4,SOME,3,KEEP,예상 밖 작은 문제를 확인하는 동안 감정 변화가 크지 않은 것은 ER-IR 낮은 방향이다. 침착함의 바람직성은 있으나 저강도 일상 맥락이고 개인정보 노출은 없다.
m04-core-expert-kit.v0.1,R06,W3,42,NX-039,결과를 확신하기 어려운 선택을 해야 할 때,걱정이 생겨도 필요한 시점에는 결정을 내린다.,ER,ER-WD,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,낮은 행동 방해,4,4,IMPORTANT,3,KEEP,걱정이 있어도 필요한 시점에 결정하는 것은 ER-WD 낮은 방향의 행동 방해가 적음을 직접 묻는다. 임상 불안과 일부 겹치지만 감정 유무가 아닌 일상 결정 행동으로 분리한다.
m04-core-expert-kit.v0.1,R06,W3,43,NX-139,여럿이 가벼운 활동을 함께할 때,그 흐름에 들어가면 기운이 살아난다.,SE,SE-RE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,공동 활동 중 활성화,4,4,IMPORTANT,4,KEEP,가벼운 공동 활동에 들어가면서 기운이 살아나는 것은 SE-RE 높은 방향을 직접 묻는다. 사회적 기술이나 관계 지위를 성과로 평가하지 않는다.
m04-core-expert-kit.v0.1,R06,W3,44,NX-138,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,예전에 들은 내용과 어떻게 연결되는지 생각해본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,정보 연결 탐색,2,3,REDUNDANT,1,EXCLUDE,예전 설명과 현재 설명을 연결하는 것은 OE-IE 탐구보다 기억과 추론 능력을 직접 요구한다. 교육 및 인지 접근 차이를 호기심으로 오인할 수 있고 깨끗한 탐구 문항이 있어 제외가 적절하다.
m04-core-expert-kit.v0.1,R06,W3,45,NX-134,하던 일을 일상적인 이유로 잠시 멈춘 뒤,다시 시작할 계기가 생길 때까지 그대로 둔다.,SM,SM-EP,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,계기 의존 복귀,4,4,IMPORTANT,3,COPY_REVISE,중단 뒤 외부 계기까지 두는 것은 SM-EP 낮은 방향과 맞는다. 주의 특성과 돌봄 일정 및 접근 가능한 재개 기회가 섞이지 않도록 스스로 다시 시작할 수 있는 조건을 명시해야 한다.
m04-core-expert-kit.v0.1,R06,W3,46,NX-032,맡은 일을 약속한 때까지 마치기 어려워졌을 때,약속한 때가 가까워진 뒤 상황을 알린다.,SM,SM-RL,LOW,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,임박 후 알림,4,4,SOME,3,COPY_REVISE,기한 가까이 상황을 알리는 것은 SM-RL 낮은 방향의 조건부 증거다. 직업 마감 경험에 치우치지 않도록 생활 약속과 공동 역할의 변경 알림으로 넓혀야 한다.
m04-core-expert-kit.v0.1,R06,W3,47,NX-108,함께할 계획에서 상대가 다른 방향을 원한다고 다시 말했을 때,내가 원하는 방향의 이유를 계속 설명한다.,RO,RO-RN,LOW,ENACTED_RESPONSE,PRIVATE_DETAIL_RESEARCH,CORE_TRAIT_EVIDENCE,ENACTED_RESPONSE,4,4,IMPORTANT,3,HOLD,상대가 다른 방향을 반복해 말해도 자기 이유를 계속 설명하는 행동은 RO-RN 낮은 방향이다. 자기옹호와 문화별 간접 거절이 섞이고 도덕적 정답성이 커 비공개라도 편향 검증 전 보류가 필요하다.
m04-core-expert-kit.v0.1,R06,W3,48,NX-148,평범한 일상 장면을 보고 있을 때,다르게 이어질 장면을 떠올려본다.,OE,OE-CI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,일상 장면의 다른 전개 생성,4,4,SOME,1,COPY_REVISE,일상 장면의 다른 전개를 만드는 것은 OE-CI 높은 방향이나 시각 접근과 심상 능력을 요구한다. 들은 사건과 촉각 경험 및 언어적 가능성도 포함한 비시각 표현으로 바꿔야 한다.
m04-core-expert-kit.v0.1,R06,W3,49,NX-131,가벼운 주제에서 의견이 엇갈릴 때,내 생각을 먼저 말한다.,SE,SE-AI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,다른 의견 선행 표현,4,4,SOME,3,COPY_REVISE,가벼운 의견 차이에서 먼저 말하는 것은 SE-AI 높은 방향에 맞는다. 위계와 연령 및 발언 규범 효과를 줄이도록 동등한 관계와 열린 발언 기회를 명시해야 한다.
m04-core-expert-kit.v0.1,R06,W3,50,NX-046,다른 사람과 정한 내용이 여러 가지일 때,내가 맡은 내용과 시점을 다시 확인한다.,SM,SM-RL,HIGH,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,합의 재확인,4,4,IMPORTANT,2,COPY_REVISE,맡은 내용과 시점을 다시 확인하는 것은 SM-RL 높은 조건부 증거지만 SM-OS 정리와 직업적 분업 경험이 함께 작용한다. 생활 약속도 포함하고 확인 뒤 이행 행동을 명시해야 한다.
