opaque_item_id,revision_candidate_id,reviewer_slot,first_construct_mapping,second_construct_mapping,direction_guess,risk_flags,fatal_risk_note,stage1_notes,recommendation,final_rationale
NV2-005,RORN-P05-B-r2,R01,RO_RN,NONE,LOW,NONE,NONE,의견 차이에서 상대의 선택 여지를 좁히는 반응을 직접 묻는다.,COPY_REVISE,RO-RN LOW의 선택 여지 축은 직접 포착하지만 내가 원하는 쪽이라는 표현의 규범적 비대칭을 더 줄일 필요가 있다.
NV2-005,RORN-P05-B-r2,R02,RO_RN,NONE,LOW,NONE,NONE,상대의 선택 여지를 줄이는 반응이 즉시 이해되지만 바람직해 보이는 방향은 매우 뚜렷하다.,KEEP,의견이 다를 때 상대의 선택 여지를 좁히는 반응이 RO-RN의 LOW 방향과 정확히 맞고 문장도 한 번에 이해된다.
NV2-005,RORN-P05-B-r2,R03,RO_RN,NONE,LOW,NONE,NONE,선택 여지를 좁히는 반응이 직접 드러난다. 표현의 규범성이 강해 실제 빈도보다 바람직한 응답을 고를 부담이 있다.,COPY_REVISE,상대의 선택 여지를 좁히는 LOW 반응은 직접적이고 인접 성향과도 잘 분리된다. 다만 강하게 바람직하지 않아 보이는 표현이 빈도 회상보다 자기표현 관리를 유도하므로 규범성을 낮추는 문구 수정이 필요하다.
NV2-005,RORN-P05-B-r2,R04,RO_RN,NONE,LOW,NONE,NONE,선택 여지 유지 여부는 직접적이나 바람직한 답이 뚜렷하고 관계 권력과 주장성 차이가 존중 성향처럼 응답될 수 있다.,COPY_REVISE,상대의 선택 여지를 좁히는 RO-RN LOW는 직접 드러나지만 자기주장과 관계 권력 차이가 섞이고 바람직성 단서가 강하므로 존중과 주장성을 분리하는 표현 수정이 필요하다.
NV2-005,RORN-P05-B-r2,R05,RO_RN,NONE,LOW,NONE,NONE,상대의 선택 여지를 좁히는 반응을 직접 묻는다. 다만 관계와 선택의 중요도에 따라 응답이 달라질 수 있고 존중하는 답이 바람직하게 보이기 쉽다.,KEEP,상대와 선택이 다를 때 상대의 선택 여지를 좁히는 반응이 RO-RN 저방향을 직접 나타낸다. 자기 의견을 먼저 표현하는 것과 달리 상대의 선택권을 어떻게 다루는지에 초점이 있어 인접 성향과도 잘 분리된다.
NV2-005,RORN-P05-B-r2,R06,RO_RN,NONE,LOW,NONE,NONE,상대의 선택 여지를 좁히는 반응을 직접 묻지만 관계의 권력·나이·성역할·문화적 의사결정 규범과 안전 문제가 응답에 영향을 줄 수 있다. 통제적으로 보일 수 있는 내용을 인정하기 어려워 사회적 바람직성 편향이 크다.,COPY_REVISE,상대의 선택 여지를 좁히는 RO-RN LOW 방향을 직접 다루지만 통제적으로 보이는 행동을 인정해야 해 사회적 바람직성 압력이 크다. 관계 권력·나이·성역할·문화 규범과 안전 맥락도 섞이고 적극적 의견 표현과 혼동될 수 있으므로 존엄 훼손의 낙인 없이 선택 여지의 차이를 묻도록 수정해야 한다.
NV2-006,SMOS-C08-r2,R01,SM_OS,NONE,LOW,NONE,NONE,시점의 사전 구조화보다 상황에 따라 시작 시점을 정하는 반응이다.,KEEP,시점의 사전 구조화보다 당시 상황에 따라 정하는 SM-OS LOW를 직접 다루며 SM-EP와의 겹침도 수용 가능한 수준이다.
NV2-006,SMOS-C08-r2,R02,SM_OS,NONE,LOW,NONE,NONE,미리 시점을 정하지 않고 가능한 때 시작한다는 하나의 방식으로 자연스럽게 읽힌다.,KEEP,시점을 미리 정하지 않고 상황에 따라 시작하는 방식이 SM-OS의 LOW 방향을 분명히 나타내며 시작 표현에서 SM-EP가 조금 연상될 뿐이다.
NV2-006,SMOS-C08-r2,R03,SM_OS,SM_EP,LOW,NONE,NONE,시점을 미리 정하는지와 실제로 시작하는지가 함께 들어 있어 계획 반응과 실행 반응이 일부 겹친다. 가능한 시간이 생기는지는 일정 통제권의 영향도 받는다.,COPY_REVISE,시점을 미리 구조화하지 않는 LOW 방향과 주간 계획 범위의 기여는 분명하다. 그러나 계획하지 않음과 실제 시작을 한 문장에 묶어 SM-EP 및 일정 통제권이 섞이므로 시작 행동을 빼고 시점 결정만 남기는 수정이 필요하다.
NV2-006,SMOS-C08-r2,R04,SM_OS,NONE,LOW,NONE,NONE,시점 구조화 경향이 중심이지만 실제 시간 여유와 일정 자율성이 응답을 좌우할 수 있다.,COPY_REVISE,시점 구조화의 LOW 방향과 범위 기여는 분명하지만 가능한 시간이라는 자원 조건과 시작한다는 실행 표현이 SM-EP 및 일정 자율성의 영향을 끌어들인다.
NV2-006,SMOS-C08-r2,R05,SM_OS,NONE,LOW,NONE,NONE,시점을 미리 구조화하지 않는 저방향 계획 방식을 주로 묻는다. 미리 정하지 않음과 가능한 때 실제 시작함은 항상 함께 가지 않으며 외부 일정 여유가 응답에 영향을 줄 수 있다.,COPY_REVISE,시점을 사전에 구조화하지 않는다는 부분은 SM-OS 저방향에 적합하고 물건 정리 외의 시간 계획 범위를 보완한다. 다만 실제 시작 여부가 함께 들어가 SM-EP 및 외부 시간 여유의 영향을 받을 수 있으므로 시점 결정 방식만 남기도록 다듬는 편이 낫다.
NV2-006,SMOS-C08-r2,R06,SM_OS,NONE,LOW,NONE,NONE,교대근무·돌봄·건강 변동·타인의 일정 통제처럼 미리 정할 수 없는 조건이 응답을 좌우할 수 있다. 미리 계획함과 상황에 맞춰 유연하게 시작함이 모두 긍정적으로 받아들여질 수 있어 바람직한 방향은 뚜렷하지 않다.,COPY_REVISE,시점을 미리 구조화하지 않는 SM-OS LOW와 방향은 잘 맞고 시간 계획 범위를 보탠다. 다만 교대근무·돌봄·건강 변동처럼 일정 자율성이 낮은 사용자는 선택이 아니라 제약 때문에 이렇게 답할 수 있으므로 계획 가능한 상황이라는 범위를 과도한 능력 조건 없이 보완할 필요가 있다.
NV2-007,SMOS-C13,R01,SM_OS,NONE,LOW,NONE,NONE,확인 순서 부재와 즉흥적 점검이 같은 방향이지만 기회는 업무 유형에 좌우된다.,COPY_REVISE,확인 순서의 구조화는 SM-OS LOW에 맞지만 업무 종류와 점검 방식에 따라 응답이 달라질 여지를 줄이는 수정이 필요하다.
NV2-007,SMOS-C13,R02,SM_OS,NONE,LOW,NONE,NONE,마무리라는 맥락보다 질문의 확인 순서가 중심이며 확인할 단계가 없는 일에는 적용하기 어렵다.,KEEP,확인 순서를 미리 구조화하지 않는 반응으로 SM-OS의 LOW 방향에 맞으며 마무리 맥락 때문에 SM-EP가 약하게 떠오르는 정도다.
NV2-007,SMOS-C13,R03,SM_OS,NONE,LOW,NONE,NONE,확인 순서의 구조화 여부는 한 번에 이해된다. 여러 단계의 일을 마무리하고 다시 살피는 상황 자체가 자주 없거나 일의 종류에 따라 반응이 달라질 수 있다.,KEEP,확인 순서를 고정 기준으로 두는지 묻는 문항으로 SM-OS의 순서 구조화 범위를 직접 보탠다. LOW 방향이 분명하고 짧은 대비 구조라 모바일에서도 응답 규칙을 쉽게 유지할 수 있다.
NV2-007,SMOS-C13,R04,SM_OS,NONE,LOW,NONE,NONE,확인 순서를 구조화하는 반복 경향은 선명하지만 직무 절차와 과업 복잡도에 따라 경험 빈도가 달라질 수 있다.,KEEP,고정된 확인 순서와 상황적 순서를 대비해 SM-OS LOW를 직접 포착하며 여러 단계 과업의 절차 요구가 빈도에 영향을 줄 수 있어도 인접 성향 혼입은 작다.
NV2-007,SMOS-C13,R05,SM_OS,NONE,LOW,NONE,NONE,정해진 확인 순서보다 당시 떠오르는 순서를 따르는 저방향 구조화 반응이다. 여러 단계의 일을 수행할 기회와 실제로 확인이 필요한 정도가 사람과 역할에 따라 달라질 수 있다.,KEEP,확인 순서를 정하지 않고 당시 떠오르는 부분부터 살피는 반응은 SM-OS 저방향에 직접 대응하며 순서 구조화의 범위를 보완한다. 마무리 맥락이 SM-EP와 일부 겹치지만 측정 초점이 완료 여부가 아니라 확인 순서이므로 구분 가능한 수준이다.
NV2-007,SMOS-C13,R06,SM_OS,METHOD,LOW,NONE,NONE,여러 단계의 일을 수행하는 빈도와 업무·학업의 절차 규정 여부가 크게 다르다. 정해진 순서는 개인 성향이 아니라 직무 요구·접근성 도구·인지 부담에 의해 정해질 수 있으며 체계적으로 확인하는 모습을 바람직하게 보일 가능성이 있다.,COPY_REVISE,확인 순서를 고정하지 않는 행동은 SM-OS LOW 방향이지만 여러 단계의 일에 대한 노출과 직무·학업상 의무 절차가 답을 크게 좌우한다. 인지 부담과 접근성 도구 사용도 섞일 수 있으므로 더 일상적이고 자율적으로 순서를 정할 수 있는 상황으로 수정해야 한다.
NV2-008,OEIE-C09-r2,R01,OE_IE,NONE,HIGH,NONE,NONE,이유와 배경을 더 알아보려는 지적 탐구 방향이 분명하다.,KEEP,이유와 배경을 필요한 범위보다 더 알아보려는 OE-IE HIGH 방향이 분명하고 인접 구성개념의 개입이 작다.
NV2-008,OEIE-C09-r2,R02,OE_IE,METHOD,HIGH,NONE,NONE,문장은 자연스럽지만 이해되지 않은 부분을 해소할 필요와 필요한 범위보다 더 알아보려는 성향이 일부 겹친다.,COPY_REVISE,이유와 배경을 더 알아보려는 HIGH 방향은 맞지만 이해되지 않은 부분을 해소하는 데 필요한 탐색과 필요한 범위를 넘는 탐구가 구분되지 않는다.
NV2-008,OEIE-C09-r2,R03,OE_IE,METHOD,HIGH,NONE,NONE,문장은 짧고 익숙하지만 이해에 필요한 정보를 구하는 반응과 필요한 범위 이상을 탐구하는 반응이 분리되지 않는다. 설명의 난도와 사전지식이 답에 영향을 줄 수 있다.,CONSTRUCT_REWRITE,더 알고 싶다는 HIGH 단서는 있으나 이해되지 않은 내용을 보충하는 것은 필요한 범위 이상의 지적 탐구와 구분되지 않는다. 설명 난도와 사전지식이 응답을 좌우하므로 필요한 답을 이미 얻은 뒤에도 탐색을 이어가는 장면으로 다시 구성해야 한다.
NV2-008,OEIE-C09-r2,R04,OE_IE,NONE,HIGH,NONE,NONE,이유와 배경을 찾는 경향은 보이나 이해되지 않은 부분을 해소하려는 상황적 필요와 학습 역할의 영향도 함께 받는다.,COPY_REVISE,이유와 배경을 찾는 방향은 맞지만 이해되지 않은 부분을 해소하는 것은 필요한 범위의 학습일 수 있어 이해 후에도 추가 탐색하는 경향으로 문맥을 고쳐야 한다.
NV2-008,OEIE-C09-r2,R05,OE_IE,NONE,HIGH,NONE,NONE,이유와 배경을 더 알아보려는 방향은 명확하다. 실제로 더 알아보는 반복 행동보다 순간적인 탐구 욕구를 묻기 때문에 빈도 응답의 행동적 근거는 다소 약하다.,COPY_REVISE,이유와 배경을 필요한 범위보다 더 탐구하는 OE-IE 고방향 의미는 명확하고 다른 개방성 성향과도 잘 구분된다. 다만 최근 빈도 응답에서는 알아보고 싶은 욕구보다 실제로 더 알아보는 반응을 묻도록 표현을 다듬는 편이 적합하다.
NV2-008,OEIE-C09-r2,R06,OE_IE,NONE,HIGH,NONE,NONE,이해되지 않는 설명을 접한 횟수와 추가 설명에 접근할 기회는 사용자마다 다르지만 질문은 행동 능력보다 알고 싶은 경향을 비교적 직접 묻는다. 지적 호기심을 바람직하게 보이는 응답 편향은 가능하다.,KEEP,OE-IE의 이유·배경을 더 알아보려는 HIGH 경향을 능력이나 실제 검색 성공이 아니라 알고 싶은 반응으로 직접 묻는다. 설명 노출 차이와 호기심을 좋게 보이는 편향은 남지만 인접 능력과의 분리는 충분하다.
