candidate_id,opaque_item_id,target_facet,reviewer_slot,first_construct_mapping,second_construct_mapping,direction_guess,risk_flags,fatal_risk_note,stage1_notes,recommendation,final_rationale
ERIR-C03,NX-116,ER-IR,R01,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,,KEEP,길어진 의견 차이에서 불편한 감정이 빠르게 커지는 높은 동요를 명확히 묻는다.
ERIR-C03,NX-116,ER-IR,R02,ER_IR,NONE,HIGH,LIMITER,NONE,비슷한 불편 감정 두 개가 함께 나오지만 감정 동요의 방향은 쉽게 이해된다.,COPY_REVISE,의견 충돌이 길어질 때 불편한 감정이 커지는 반응은 높은 정서 반응성을 보여준다. 답답함과 짜증 두 감정을 하나의 불편감으로 합치면 단일 반응이 더 선명해진다.
ERIR-C03,NX-116,ER-IR,R03,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,긴 의견 차이에서 감정이 빠르게 커지는 반응이 선명하지만 해당 갈등이 적을 수 있고 낮게 답하고 싶어질 수 있다.,KEEP,긴 의견 차이에서 감정이 빠르게 커지는 ER-IR 고방향이 직접적이다. 갈등 기회가 적고 축소 응답 위험은 있어도 핵심 문항으로 명확하다.
ERIR-C03,NX-116,ER-IR,R04,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,지속되는 의견 차이에서 불편한 감정이 빠르게 커진다.,KEEP,의견 차이가 길어질 때 답답함과 짜증이 빠르게 커져 높은 ER-IR이 직접적이다. 갈등 내용이나 설득 성공보다 내적 정서 증가를 묻는다.
ERIR-C03,NX-116,ER-IR,R05,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,의견 차이에서 불편한 감정이 빠르게 커지는 반응이 직접적이다.,KEEP,의견 차이에서 답답함과 짜증이 빠르게 커지는 반응은 ER-IR HIGH의 활성화 속도를 직접 측정한다. 갈등 행동이 아니라 감정 크기를 묻기 때문에 분리도가 높다.
ERIR-C03,NX-116,ER-IR,R06,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,의견 차이가 이어질 때 불편 감정이 빠르게 확대되는 반응이다.,KEEP,의견 차이가 길어질 때 답답함과 짜증이 빠르게 커지는 것은 ER-IR 높은 방향이다. 갈등 문화의 영향은 있으나 내적 감정 변화를 묻고 임상 진단 표현은 없다.
ERIR-C04,NX-043,ER-IR,R01,ER_IR,NONE,LOW,NEGATION;SOCIAL_DESIRABILITY,NONE,,KEEP,지속되는 의견 차이 속에서도 정서 크기가 변하지 않는 낮은 동요 방향이 직접적이다.
ERIR-C04,NX-043,ER-IR,R02,ER_IR,NONE,LOW,NEGATION;LIMITER;SOCIAL_DESIRABILITY,NONE,감정의 크기와 크게 달라지지 않는다는 부정 표현이 인공적이고 안정적인 답이 바람직해 보인다.,CONSTRUCT_REWRITE,의견 충돌이 이어져도 낮은 정서 변화를 보이는 방향은 맞는다. 감정의 크기와 크게 달라지지 않는다는 인공적 부정 표현을 차분한 상태가 유지된다는 일상어로 새로 써야 한다.
ERIR-C04,NX-043,ER-IR,R03,ER_IR,NONE,LOW,MEMORY;LIMITER,NONE,감정 동요를 묻는 뜻은 보이지만 크게 달라지지 않는다는 비교 기준이 모호하고 긴 대화의 감정 크기를 회상해야 한다.,COPY_REVISE,갈등 중 감정 동요가 낮은 ER-IR 저방향은 맞는다. 크게 달라지지 않는다는 기준이 모호해 처음과 비교해 감정이 커지지 않는다처럼 모바일에서 즉시 비교 가능한 표현이 필요하다.
ERIR-C04,NX-043,ER-IR,R04,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,지속되는 의견 차이에서도 감정 동요가 커지지 않는 반응이다.,KEEP,의견 차이가 길어져도 감정 크기가 변하지 않아 낮은 ER-IR을 직접 묻는다. 갈등 회피나 설득 능력이 아니라 내적 정서 변화에 초점이 있다.
ERIR-C04,NX-043,ER-IR,R05,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,의견 차이가 지속되어도 감정 동요가 커지지 않는 낮은 방향이다.,KEEP,의견 차이가 지속돼도 감정 크기가 크게 변하지 않는 반응은 ER-IR LOW와 직접 맞는다. 갈등 회피나 표현 억제가 아니라 내적 동요를 묻는다.
ERIR-C04,NX-043,ER-IR,R06,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY;LIMITER,NONE,지속되는 의견 차이에서 감정 확대가 적은 반응을 직접 묻는다.,KEEP,의견 차이가 이어져도 감정 변화가 크지 않은 것은 ER-IR 낮은 방향을 명확히 묻는다. 침착함의 바람직성은 있으나 내적 상태를 묻고 민감한 내용 공개는 없다.
ERIR-C05,NX-049,ER-IR,R01,ER_IR,NONE,HIGH,NONE,NONE,,KEEP,작은 예상 밖 문제에서 불편감이 즉시 커지는 높은 감정 동요를 직접 묻는다.
ERIR-C05,NX-049,ER-IR,R02,ER_IR,NONE,HIGH,LIMITER;SOCIAL_DESIRABILITY,NONE,한꺼번에의 강도 기준은 다를 수 있으나 감정 동요 반응은 쉽게 이해된다.,COPY_REVISE,작은 돌발 문제에 감정이 즉시 커지는 반응은 높은 정서 반응성을 직접 보여준다. 한꺼번에라는 표현을 더 일상적인 강도 변화 표현으로 바꾸면 응답 기준이 선명해진다.
ERIR-C05,NX-049,ER-IR,R03,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,일상적인 문제와 감정 반응이 구체적이어서 쉽게 답하지만 감정이 덜 커지는 답이 더 좋아 보일 수 있다.,KEEP,작은 예상 밖 문제에서 감정이 즉시 커지는 ER-IR 고방향을 직접 묻는다. 일상적이고 짧아 바람직성 영향을 감안해도 핵심 문항으로 응답 부담이 낮다.
ERIR-C05,NX-049,ER-IR,R04,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,작은 예상 밖 문제에서 불편한 감정이 빠르게 커진다.,KEEP,예상 밖의 작은 문제에서 불편한 감정이 한꺼번에 올라와 높은 ER-IR의 즉각 동요를 직접 포착한다. 문제 해결 능력이나 표현 방식과 구분된다.
ERIR-C05,NX-049,ER-IR,R05,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,예상 밖의 작은 문제에서 감정이 빠르게 커지는 반응이다.,KEEP,예상 밖의 작은 문제에서 감정이 한꺼번에 올라오는 반응은 ER-IR HIGH의 즉각 동요를 직접 묻는다. 문제 해결 능력과 분리된다.
ERIR-C05,NX-049,ER-IR,R06,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,예상 밖 작은 문제에서 감정이 급격히 커지는 반응이 직접적이다.,KEEP,예상 밖 작은 문제에서 불편 감정이 한꺼번에 커지는 반응은 ER-IR 높은 방향에 직접 맞는다. 일상적 저강도 장면으로 임상 진단이나 개인정보를 요구하지 않는다.
ERIR-C06,NX-100,ER-IR,R01,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,,KEEP,예상 밖의 문제를 확인하는 동안 정서 변화가 작다는 낮은 감정 동요 증거가 명확하다.
ERIR-C06,NX-100,ER-IR,R02,ER_IR,NONE,LOW,NEGATION;LIMITER;SOCIAL_DESIRABILITY,NONE,감정 변화는 크지 않다는 부정문과 크기의 기준 때문에 응답 판단이 조금 추상적이다.,COPY_REVISE,작은 돌발 문제를 확인하는 동안 낮은 감정 변화를 묻어 목표 방향은 맞는다. 감정 변화가 크지 않다는 부정적이고 추상적인 표현을 평소 감정 상태를 유지한다는 말로 다듬어야 한다.
ERIR-C06,NX-100,ER-IR,R03,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,예상 밖 문제에서 감정이 크게 변하지 않는 반응이 명확하지만 침착한 답이 더 바람직해 보일 수 있다.,KEEP,예상 밖 문제를 확인하는 동안 감정이 크게 변하지 않는 ER-IR 저방향이 선명하다. 일상적이고 한 반응이라 핵심 문항으로 쉽게 답할 수 있다.
ERIR-C06,NX-100,ER-IR,R04,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,예상 밖의 문제에도 감정 동요가 작게 유지되는 반응이다.,KEEP,예상 밖의 작은 문제를 확인하는 동안 감정 변화가 작아 낮은 ER-IR을 직접 묻는다. 문제 해결 능력이 아니라 즉시 동요 크기에 초점이 있어 코어 근거로 적절하다.
ERIR-C06,NX-100,ER-IR,R05,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,예상 밖 문제를 확인할 때 감정 동요가 작다는 반응이다.,KEEP,예상 밖 문제를 확인하는 동안 감정 변화가 작다는 반응은 ER-IR LOW와 직접 맞는다. 문제 해결 능력이 아니라 초기 동요만 묻는다.
ERIR-C06,NX-100,ER-IR,R06,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY;LIMITER,NONE,예상 밖 문제에서도 감정이 급격히 커지지 않는 반응을 직접 묻는다.,KEEP,예상 밖 작은 문제를 확인하는 동안 감정 변화가 크지 않은 것은 ER-IR 낮은 방향이다. 침착함의 바람직성은 있으나 저강도 일상 맥락이고 개인정보 노출은 없다.
ERIR-C07,NX-105,ER-IR,R01,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,,KEEP,수정 피드백 직후 불편감이 커지는 높은 감정 동요를 명확하게 묻는다.
ERIR-C07,NX-105,ER-IR,R02,ER_IR,NONE,HIGH,LIMITER;SOCIAL_DESIRABILITY,NONE,피드백 중 감정이 빠르게 커지는 반응은 명확하지만 안정적인 반대 답이 더 바람직해 보인다.,KEEP,고칠 점을 들은 직후 불편한 감정이 커지는 반응을 짧고 직접적으로 묻는다. 높은 정서 반응성의 핵심 증거이고 걱정의 지속과도 분리된다.
ERIR-C07,NX-105,ER-IR,R03,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,피드백 장면과 즉각적 감정 변화가 직접적이어서 쉽게 답하지만 동요가 적은 답이 더 바람직해 보인다.,KEEP,피드백 직후 감정이 커지는 ER-IR 고방향을 짧게 묻는다. 흔한 경험이고 즉시 이해되어 모바일 핵심 문항으로 적합하다.
ERIR-C07,NX-105,ER-IR,R04,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,부정적 피드백을 들을 때 불편한 감정이 빠르게 커진다.,KEEP,고칠 점을 듣자 불편한 감정이 바로 커져 높은 ER-IR의 즉각 반응이 직접적이다. 피드백 이해 능력이나 표현 행동보다 내적 정서 증가를 묻는다.
ERIR-C07,NX-105,ER-IR,R05,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,부정 평가를 들을 때 불편한 감정이 빠르게 커지는 반응이다.,KEEP,고칠 점을 듣자마자 불편한 감정이 커지는 반응은 ER-IR HIGH의 빠른 활성화를 직접 측정한다. 피드백 수용 행동과 분리된다.
ERIR-C07,NX-105,ER-IR,R06,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,비판을 들을 때 불편 감정이 즉시 커지는 반응이 직접적이다.,KEEP,고칠 점을 들은 직후 불편 감정이 커지는 것은 ER-IR 높은 방향을 직접 측정한다. 취약함이라는 사회적 낙인 가능성은 있으나 저강도 일상 장면이고 비공개 응답이라 유지할 수 있다.
ERIR-C08,NX-146,ER-IR,R01,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,,KEEP,수정 피드백을 듣는 동안 정서 변화가 작다는 낮은 감정 동요 반응을 직접 묻는다.
ERIR-C08,NX-146,ER-IR,R02,ER_IR,NONE,LOW,NEGATION;LIMITER;SOCIAL_DESIRABILITY,NONE,감정의 크기라는 표현이 다소 인공적이고 부정문과 크게라는 기준이 함께 들어 있다.,COPY_REVISE,피드백을 듣는 동안의 낮은 정서 변화를 물어 목표 방향에는 맞는다. 감정의 크기와 크게 달라지지 않는다는 표현이 추상적이고 부정형이므로 한 번에 판단할 수 있게 바꿔야 한다.
ERIR-C08,NX-146,ER-IR,R03,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY;MEMORY,NONE,피드백 중 감정 안정은 이해되지만 크게의 기준을 회상해야 하며 흔들리지 않는 답이 더 성숙해 보인다.,COPY_REVISE,피드백 중 감정 동요가 낮은 ER-IR 저방향은 맞는다. 크게 달라지지 않는다는 비교 기준을 처음보다 커지지 않는다로 바꾸면 모바일에서 더 즉시 답할 수 있다.
ERIR-C08,NX-146,ER-IR,R04,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,부정적 피드백을 듣는 동안 감정 동요가 크지 않은 반응이다.,KEEP,고칠 점을 듣는 동안 감정 크기가 크게 변하지 않아 낮은 ER-IR을 직접 포착한다. 피드백 수용 능력이나 표현 억제보다 내적 동요의 변화에 초점이 있다.
ERIR-C08,NX-146,ER-IR,R05,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,평가를 받는 동안 감정 동요가 작다는 반응이 직접적이다.,KEEP,피드백을 듣는 동안 감정 크기가 크게 달라지지 않는 반응은 ER-IR LOW에 직접 대응한다. 감정 표현 방식이나 피드백 수용 능력을 묻지 않아 분리도가 높다.
ERIR-C08,NX-146,ER-IR,R06,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY;LIMITER,NONE,비판 장면의 즉각적 감정 동요를 분명히 묻지만 낮은 동요가 바람직해 보인다.,KEEP,고칠 점을 듣는 동안 감정 변화가 작은 반응은 ER-IR 낮은 방향에 맞고 표현 억제보다 내적 변화를 묻는다. 침착함의 바람직성은 있으나 일상적 피드백 장면이라 개인정보나 임상 낙인은 낮다.
ERIR-C09,NX-076,ER-IR,R01,ER_IR,NONE,HIGH,NONE,NONE,,KEEP,작은 불편이 반복되며 짜증이 빠르게 누적되는 높은 감정 동요를 분명히 묻는다.
ERIR-C09,NX-076,ER-IR,R02,ER_IR,NONE,HIGH,LIMITER,NONE,처음과 이후의 감정 변화를 비교해 감정 누적을 쉽게 이해할 수 있다.,KEEP,작은 불편이 반복될 때 짜증이 누적되는 반응이 높은 정서 반응성을 잘 포착한다. 상황과 비교 기준이 구체적이고 한 반응에 집중되어 핵심 증거로 적합하다.
ERIR-C09,NX-076,ER-IR,R03,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,반복 자극에 감정이 커지는 반응이 구체적이지만 짜증이 덜 쌓이는 답이 더 안정적으로 보일 수 있다.,KEEP,반복 불편에서 감정이 빠르게 누적되는 ER-IR 고방향이 구체적이다. 흔하고 비교점이 분명해 모바일 핵심 문항으로 적합하다.
ERIR-C09,NX-076,ER-IR,R04,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,반복되는 작은 불편에 감정 강도가 빠르게 커진다.,KEEP,짧게 반복된 작은 불편에서 짜증이 빠르게 누적되어 높은 ER-IR 방향이 명확하다. 상황 강도가 낮고 정서 증가 자체를 묻기 때문에 역할이나 능력 혼입이 적다.
ERIR-C09,NX-076,ER-IR,R05,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,반복 자극에 불편한 감정이 빠르게 누적되는 반응이 직접적이다.,KEEP,반복되는 작은 불편에 짜증이 빠르게 누적되는 반응은 ER-IR HIGH의 누적 동요를 직접 측정한다. 초기 활성화와 다른 범위라 기여가 크다.
ERIR-C09,NX-076,ER-IR,R06,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,반복 좌절에서 감정이 빠르게 커지는 반응이 명확하다.,KEEP,반복되는 작은 불편에서 짜증이 누적되는 반응은 ER-IR 높은 방향을 직접 묻는다. 저강도 일상 상황이라 임상 진단이나 민감한 개인정보를 요구하지 않는다.
ERIR-C10,NX-012,ER-IR,R01,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,,KEEP,반복되는 작은 불편에도 감정 크기가 증가하지 않는 낮은 동요 방향을 직접 묻는다.
ERIR-C10,NX-012,ER-IR,R02,ER_IR,NONE,LOW,LIMITER;SOCIAL_DESIRABILITY,NONE,감정의 크기와 비슷하게 유지된다는 표현이 다소 인공적이며 안정적인 답이 바람직해 보인다.,CONSTRUCT_REWRITE,반복되는 불편에도 감정이 크게 누적되지 않는 방향은 낮은 정서 반응성에 맞는다. 감정의 크기가 비슷하게 유지된다는 인공적 표현을 짜증이 더 커지지 않는 일상어로 새로 써야 한다.
ERIR-C10,NX-012,ER-IR,R03,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,반복 자극에도 감정이 커지지 않는다는 뜻이 명확하지만 안정적인 답이 더 바람직해 보일 수 있다.,KEEP,반복 불편에도 감정이 더 커지지 않는 ER-IR 저방향이 명확하다. 흔한 장면과 단일 반응이라 바람직성 영향에도 모바일 핵심 근거로 적합하다.
ERIR-C10,NX-012,ER-IR,R04,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,반복된 불편에도 감정 강도가 누적되어 커지지 않는다.,KEEP,반복된 작은 불편에도 감정 크기가 누적되지 않아 낮은 ER-IR 방향이 직접적이다. 참는 행동이나 사회적 역할이 아니라 정서 증가 자체를 묻는다.
ERIR-C10,NX-012,ER-IR,R05,ER_IR,NONE,LOW,NONE,NONE,반복 자극에도 감정 크기가 빠르게 누적되지 않는 낮은 방향이다.,KEEP,반복 자극에도 감정 크기가 누적되지 않는 반응은 ER-IR LOW를 직접 포착한다. 초기 활성화와 다른 누적 범위를 측정해 기여가 크다.
ERIR-C10,NX-012,ER-IR,R06,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY;LIMITER,NONE,반복 좌절에도 감정이 확대되지 않는 낮은 동요 방향이 명확하다.,KEEP,반복되는 작은 불편에도 감정 크기가 비슷한 것은 ER-IR 낮은 방향과 맞는다. 감정 억제나 표현 방식 대신 내적 변화를 묻고 임상 진단이나 개인정보를 요구하지 않는다.
ERIR-C11,NX-103,ER-IR,R01,ER_IR,NONE,HIGH,NONE,NONE,,KEEP,불편한 감정의 지속과 다른 활동으로의 이월을 직접 묻고 있어 높은 감정 동요 증거가 명확하다.
ERIR-C11,NX-103,ER-IR,R02,ER_IR,NONE,HIGH,LIMITER,NONE,감정이 다른 활동까지 이어지는 지속 반응을 쉽게 이해할 수 있다.,KEEP,사소한 문제 뒤 불편감이 다음 활동까지 이어지는지를 묻어 높은 정서 관성을 잘 포착한다. 상황과 시간 흐름이 분명하고 걱정 반복과도 구분된다.
ERIR-C11,NX-103,ER-IR,R03,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,감정이 다른 일까지 지속되는 반응이 구체적이고 일상적이지만 빨리 회복하는 답이 더 바람직해 보인다.,KEEP,불편한 감정이 다른 일까지 이어지는 ER-IR 고방향이 구체적이다. 일상적이고 한 반응이라 모바일 핵심 문항으로 응답하기 쉽다.
ERIR-C11,NX-103,ER-IR,R04,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,작은 좌절 뒤 불편한 감정이 다른 활동 중에도 지속된다.,KEEP,작은 좌절 뒤 다른 활동 중에도 불편감이 이어져 높은 ER-IR의 정서 지속을 직접 포착한다. 표현 방식이나 임상 증상보다 일상적 carryover에 초점이 있어 코어 근거로 적절하다.
ERIR-C11,NX-103,ER-IR,R05,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,작은 좌절 뒤 불편한 감정이 다른 활동까지 오래 이어지는 반응이다.,KEEP,작은 좌절 뒤 불편한 감정이 다른 활동까지 이어지는 반응은 ER-IR HIGH의 지속을 직접 측정한다. 활성화 속도와 다른 carryover 범위를 보완한다.
ERIR-C11,NX-103,ER-IR,R06,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY;LIMITER,NONE,좌절 뒤 감정 지속을 분명히 묻지만 한동안의 시간 기준은 주관적이다.,COPY_REVISE,좌절 뒤 다른 일까지 감정이 이어지는 것은 ER-IR 높은 방향에 맞는다. 한동안의 모호함과 임상 기분 증상 오염을 줄이도록 다음 활동 하나까지처럼 범위를 고정해야 한다.
ERIR-C12,NX-081,ER-IR,R01,ER_IR,NONE,LOW,NONE,NONE,,KEEP,불편한 감정이 다음 활동까지 오래 이월되지 않는 낮은 감정 동요를 직접 측정한다.
ERIR-C12,NX-081,ER-IR,R02,ER_IR,NONE,LOW,LIMITER,NONE,감정이 올라온 뒤 줄어드는 두 시점이 함께 있고 다음 일을 할 때까지의 시간이 일정하지 않다.,COPY_REVISE,다음 활동까지 감정이 이어지는 정도를 물어 낮은 정서 관성에 맞는다. 감정이 올라온 뒤와 줄어드는 두 시점을 비교해야 하므로 기준 상황을 더 구체화하면 응답 부담이 줄어든다.
ERIR-C12,NX-081,ER-IR,R03,ER_IR,NONE,LOW,MEMORY,NONE,감정 회복 방향은 쉽게 이해되지만 다음 일을 할 때라는 시간 간격이 매번 달라 빈도 기준이 조금 흔들릴 수 있다.,COPY_REVISE,다음 활동까지 감정이 덜 이어지는 ER-IR 저방향을 잘 담는다. 다음 일을 할 때의 시간 간격이 달라질 수 있어 잠시 뒤 다른 일을 시작할 때처럼 기준을 좁히면 응답이 안정된다.
ERIR-C12,NX-081,ER-IR,R04,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,좌절 뒤 다음 활동으로 넘어갈 때 불편한 감정이 빠르게 줄어든다.,KEEP,작은 좌절 뒤 다음 일을 할 때 감정이 줄어 낮은 ER-IR의 짧은 carryover를 직접 포착한다. 감정 억제 표현이나 문제 해결 능력보다 내적 지속 시간에 초점이 있다.
ERIR-C12,NX-081,ER-IR,R05,ER_IR,NONE,LOW,NONE,NONE,감정이 올라온 뒤 다음 활동에서 빠르게 줄어드는 낮은 지속 방향이다.,KEEP,감정이 올라온 뒤 다음 활동에서는 크기가 줄어드는 반응은 ER-IR LOW의 짧은 지속을 직접 포착한다. 활성화 속도와 다른 회복 범위를 보완해 기여가 크다.
ERIR-C12,NX-081,ER-IR,R06,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,좌절 뒤 불편 감정이 다음 활동까지 오래 이어지지 않는 방향이다.,KEEP,좌절 뒤 다음 일을 할 때 감정이 줄어드는 것은 ER-IR 낮은 방향의 짧은 지속을 직접 측정한다. 감정이 없다고 요구하지 않아 낙인과 억제 규범 위험이 낮다.
ERWD-C01,NX-075,ER-WD,R01,ER_WD,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,현재 불안 상태가 반복되는 부정적 가능성에 영향을 줄 수 있다.,KEEP,결과 불확실성 속에서 부정적 가능성이 반복되는 높은 걱정 방향을 직접 묻는다.
ERWD-C01,NX-075,ER-WD,R02,ER_WD,NONE,HIGH,NONE,NONE,불확실한 상황에서 걱정이 반복되는 반응을 쉽고 직접적으로 묻는다.,KEEP,결과를 모르는 대기 상황에서 부정적 가능성이 반복되는 생각을 직접 묻는다. 높은 걱정 지속의 핵심 반응이 명확하고 즉각적인 감정 강도와도 잘 구분된다.
ERWD-C01,NX-075,ER-WD,R03,ER_WD,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,불확실성에서 반복되는 걱정이 직접적이고 일상적이지만 걱정이 적은 답이 더 안정적으로 보일 수 있다.,KEEP,불확실한 결과를 기다리며 부정 가능성이 반복되는 ER-WD 고방향이 직접적이다. 일상적이고 빈도 척도에도 잘 맞아 모바일 핵심 문항으로 적합하다.
