protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-core-expert-kit.v0.1,R07,W1,15,NX-099,다른 사람에게 해주기로 한 일이 있을 때,잊지 않도록 내가 확인할 방법을 마련한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,16,NX-140,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,17,NX-118,여럿이 편하게 이야기를 나눌 때,참여하는 시간을 짧게 조절하고 싶어진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,18,NX-091,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,왜 그렇게 정해졌는지 배경이 궁금해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,19,NX-003,여러 단계를 거친 일을 마치기 전에,눈에 걸리는 부분이 있을 때 다시 살핀다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,20,NX-005,누군가 해결책을 묻지 않고 속상한 일을 이야기할 때,이야기의 원인과 결과가 먼저 궁금해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,21,NX-090,다른 사람과 정한 내용이 여러 가지일 때,기억나는 내용을 기준으로 움직인다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,22,NX-052,비슷한 일을 반복해서 처리할 때,다음에도 따를 수 있는 순서를 만들어둔다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,23,NX-068,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,그 개념이 정확히 무엇을 뜻하는지 더 알아본다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,24,NX-070,하나의 가벼운 가능성이 떠올랐을 때,처음 떠오른 장면만 생각하고 다른 일로 넘어간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,25,NX-067,사람들과 부담 없이 시간을 보낸 뒤,혼자 조용히 회복할 시간이 필요해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,26,NX-085,여럿이 일을 나눠 맡았을 때,다른 사람이 물어볼 때 내 부분의 진행 상태를 확인한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,27,NX-024,중요하게 생각하는 문제에서 의견이 다를 때,내 의견을 말한 뒤 상대가 선택할 여지를 남긴다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,28,NX-095,처음 들어간 일상 공간을 둘러볼 때,분위기에는 눈길이 짧게 머문다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,29,NX-014,여러 날에 걸쳐 해야 하는 일이 있을 때,손이 가는 날에 몰아서 진행한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,30,NX-146,내가 한 일에서 고칠 점을 들었을 때,내용을 듣는 동안 감정의 크기는 크게 달라지지 않는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,31,NX-113,처음 만난 사람들과 가볍게 이야기할 때,대화 흐름에 함께할수록 기운이 붙는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,32,NX-128,여럿이 간단한 선택을 미루고 있을 때,내가 먼저 선택지를 꺼낸다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,33,NX-130,처음 보는 기능이 있는 생활용품을 사용할 때,어떻게 쓰는지만 확인하고 바로 사용한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,34,NX-110,해보려던 일이 한 번 잘되지 않았을 때,다음 시도를 생각할 때 걱정이 오래 이어지지 않는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,35,NX-108,함께할 계획에서 상대가 다른 방향을 원한다고 다시 말했을 때,내가 원하는 방향의 이유를 계속 설명한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,36,NX-076,작은 불편이 짧은 시간 안에 반복될 때,처음보다 짜증이 빠르게 쌓인다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,37,NX-039,결과를 확신하기 어려운 선택을 해야 할 때,걱정이 생겨도 필요한 시점에는 결정을 내린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,38,NX-032,맡은 일을 약속한 때까지 마치기 어려워졌을 때,약속한 때가 가까워진 뒤 상황을 알린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,39,NX-074,일상에서 색과 빛이 어우러진 장면을 볼 때,그 인상에 눈길이 오래 머문다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,40,NX-098,누군가 힘들었던 일을 이야기할 때,그 사람이 어떤 마음이었는지에 주의가 간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,41,NX-066,이번 주 안에 할 일이 생겼을 때,할 수 있는 때가 생기면 시작한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,42,NX-138,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,예전에 들은 내용과 어떻게 연결되는지 생각해본다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,43,NX-022,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,44,NX-050,공동 활동의 다음 순서가 정해지지 않았을 때,진행할 방법을 먼저 제안한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,45,NX-028,마음에 드는 장면이나 소리를 접한 뒤,그때의 느낌을 다시 떠올려본다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,46,NX-141,사소한 선택에서 상대와 원하는 것이 다를 때,내가 원하는 쪽으로 정할 이유가 먼저 떠오른다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,47,NX-004,해야 할 일이 몇 가지 겹쳐 있을 때,할 일을 순서나 묶음으로 정리한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,48,NX-043,상대와 의견이 달라 대화가 길어질 때,의견 차이가 이어져도 감정의 크기는 크게 달라지지 않는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,49,NX-075,결과가 아직 정해지지 않은 일을 기다릴 때,잘못될 가능성이 여러 번 떠오른다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R07,W1,50,NX-127,내가 마쳐야 다른 사람이 이어갈 수 있을 때,상대가 요청한 뒤 필요한 부분을 넘긴다.,,,,,,,,,,,
