attempt_ref,NU_B1_001,NU_B1_002,NU_B1_003,NU_B1_004,NU_B1_005,NU_B1_006,NU_B1_007,NU_B1_008,NU_B1_009,NU_B1_010,NU_B1_011,NU_B1_012,NU_B1_013,NU_B1_014,NU_B1_015,NU_B1_016,NU_B1_017,NU_B1_018,NU_B1_019,NU_B1_020,NU_B1_021,NU_B1_022,NU_B1_023,NU_B1_024,NU_B1_025,NU_B1_026,NU_B1_027,NU_B1_028,NU_B1_029,NU_B1_030,NU_B1_031,NU_B1_032,NU_B1_033,NU_B1_034,NU_B1_035,NU_B1_036,NU_B1_037,NU_B1_038,NU_B1_039,NU_B1_040,NU_B1_041,NU_B1_042,NU_B1_043,NU_B1_044,NU_B1_045,NU_B1_046,NU_B1_047,NU_B1_048,NU_B1_049,NU_B1_050,NU_B1_051,NU_B1_052,NU_B1_053,NU_B1_054,NU_B1_055,NU_B1_056,NU_B1_057,NU_B1_058,NU_B1_059,NU_B1_060
synthetic-0024,4,2,2,3,1,2,,3,4,3,2,5,4,4,5,2,2,2,3,4,2,2,5,2,4,,,4,4,3,5,3,1,2,3,4,3,2,2,2,3,5,3,2,1,4,3,3,2,5,2,3,4,3,4,3,3,3,3,4
synthetic-0025,2,4,3,1,4,3,5,3,3,3,4,4,2,3,2,5,3,4,5,1,4,3,4,4,2,2,1,3,4,2,3,2,3,2,3,,5,2,1,4,2,3,1,2,3,2,3,2,2,2,4,4,4,3,3,3,2,4,5,1
synthetic-0026,2,3,1,3,3,1,2,2,5,2,4,3,5,5,2,5,,5,1,3,4,3,5,5,2,3,4,5,2,3,3,3,1,3,2,3,3,1,5,2,2,,1,1,4,1,3,2,3,2,5,2,4,4,3,4,5,5,1,2
synthetic-0027,3,4,3,1,3,1,4,2,3,,2,2,3,5,1,5,3,5,4,1,3,5,3,4,2,5,3,5,4,2,1,4,5,3,5,1,4,1,5,5,1,5,2,4,4,2,3,3,4,,5,3,4,5,3,5,4,5,4,5
synthetic-0028,4,3,1,2,3,2,1,1,3,4,2,3,5,5,4,4,4,5,4,4,1,3,5,5,4,3,4,5,2,3,3,2,1,3,3,2,2,2,3,3,3,2,3,2,3,1,2,3,3,4,4,2,4,5,4,3,1,5,3,3
synthetic-0029,4,2,5,4,1,4,2,2,2,1,1,4,2,4,5,3,4,2,4,4,1,5,1,3,5,2,3,2,5,5,5,1,5,4,3,3,2,2,2,1,4,2,,4,1,2,1,3,2,2,2,5,1,1,5,,5,4,4,4
synthetic-0030,3,2,,4,1,3,4,4,4,3,4,2,1,3,5,1,4,5,2,5,1,4,1,,4,3,5,3,2,5,3,3,4,4,3,3,2,3,4,1,3,3,5,3,2,5,1,2,5,,2,2,2,1,4,1,5,3,,4
synthetic-0031,4,3,3,3,2,5,4,2,2,3,4,3,5,2,3,2,3,2,5,1,1,5,3,3,4,5,5,4,4,,4,4,1,,4,5,4,3,1,3,2,2,3,3,2,3,2,4,2,2,3,3,,,2,2,3,3,4,3
synthetic-0032,3,2,4,4,4,4,4,,3,5,3,4,1,2,2,3,1,4,1,2,3,4,2,1,2,4,2,3,2,3,3,3,4,4,5,3,5,5,4,,2,4,5,4,4,2,4,4,4,3,4,3,3,3,1,4,1,2,1,1
synthetic-0033,2,1,4,4,4,1,4,4,3,2,5,2,3,1,3,5,2,,1,4,4,4,3,1,3,4,3,2,1,,3,2,5,5,4,1,3,5,5,4,1,3,5,3,5,1,3,3,3,3,4,4,2,3,1,5,3,3,2,
synthetic-0034,4,3,3,5,5,5,1,5,5,1,3,4,3,3,1,3,4,1,2,5,5,,3,3,1,2,5,1,1,5,2,2,3,4,5,4,3,5,5,2,2,3,1,4,5,5,2,5,5,1,4,2,4,1,1,3,4,2,1,5
synthetic-0035,5,2,5,2,5,3,4,2,5,3,2,3,4,4,1,1,3,4,1,4,1,5,3,3,1,3,3,5,3,1,5,4,3,4,4,3,3,2,,2,3,3,4,3,4,4,4,4,5,4,2,3,2,4,1,3,4,1,2,2
synthetic-0036,2,1,5,4,5,3,3,2,5,4,2,4,2,2,2,3,3,4,1,3,2,4,2,2,2,5,3,3,2,5,4,2,4,4,5,2,2,4,3,2,3,2,5,3,4,3,4,2,5,2,5,2,3,2,2,5,3,4,3,1
synthetic-0037,5,4,2,3,4,4,2,2,5,5,2,2,2,1,1,2,1,3,2,3,2,1,3,3,1,4,1,4,1,,5,,4,3,5,5,5,2,5,5,4,4,5,3,3,5,2,2,5,5,2,1,3,3,2,1,2,3,2,1
synthetic-0038,2,2,2,3,2,4,2,4,4,3,2,2,3,3,4,3,5,2,3,3,2,3,4,4,4,2,3,2,2,3,3,2,3,3,1,2,1,3,3,3,2,2,3,3,2,5,4,4,3,2,3,5,3,1,5,4,5,2,1,5
synthetic-0039,,3,2,3,2,4,2,3,,2,4,2,5,3,4,3,5,5,3,2,3,1,3,3,3,1,3,3,3,3,1,5,3,3,2,2,4,3,2,3,4,5,1,3,1,2,3,5,2,3,3,2,3,3,,5,2,2,5,5
synthetic-0040,3,3,4,3,2,2,1,,3,2,1,3,3,4,5,2,3,2,3,,3,5,1,4,4,3,1,4,3,3,3,3,2,3,2,4,3,3,4,1,,2,3,1,2,3,2,2,2,2,4,,2,1,5,3,3,2,4,2
synthetic-0041,3,4,5,2,3,4,5,2,5,2,1,2,2,4,2,2,2,4,2,4,2,3,2,4,3,1,5,5,2,3,3,3,3,3,4,5,4,1,4,5,5,3,5,2,3,5,5,1,5,4,2,3,1,4,4,1,4,3,4,3
synthetic-0042,4,,1,1,3,4,5,1,4,3,2,3,4,5,1,3,3,5,2,1,1,2,5,5,2,3,2,5,3,3,4,4,2,1,5,3,4,1,3,4,5,4,1,1,4,3,4,1,5,5,4,2,4,5,2,3,2,5,2,2
synthetic-0043,3,4,3,2,4,4,4,3,3,3,3,2,3,5,4,1,4,2,2,4,4,2,1,3,1,2,2,2,5,3,5,2,1,4,3,2,,4,3,3,2,4,2,3,2,3,5,4,3,2,4,3,3,4,3,4,2,2,4,3
synthetic-0044,3,5,3,1,4,5,4,2,4,5,3,2,2,5,3,2,3,4,4,3,3,3,3,4,4,1,2,4,3,1,3,5,4,4,4,5,3,1,3,4,2,5,3,5,4,5,4,1,4,4,3,2,2,5,3,2,2,5,1,2
synthetic-0045,3,4,1,1,1,3,2,2,3,4,4,2,4,5,,4,2,3,5,3,2,2,4,5,5,2,1,5,3,2,5,3,2,3,1,4,3,1,2,4,4,4,2,4,1,4,3,1,2,5,,2,3,4,5,4,3,4,5,1
synthetic-0046,3,3,5,2,3,2,1,3,5,2,5,3,2,4,1,3,5,4,4,4,5,5,2,4,2,5,5,4,2,4,2,3,4,2,3,2,1,3,1,1,3,2,4,1,4,2,3,2,4,3,4,4,4,4,4,3,3,,3,5
synthetic-0047,1,4,3,1,5,1,3,1,5,3,4,3,2,4,2,2,3,2,1,3,3,3,2,4,1,2,1,3,1,3,2,3,4,2,5,2,3,2,5,2,1,2,4,3,4,3,5,1,5,2,5,3,1,5,1,3,4,3,2,2
synthetic-0048,3,5,4,3,4,3,2,2,2,4,3,2,2,3,4,2,4,3,4,3,3,2,4,4,2,3,2,2,2,2,4,5,4,3,3,5,4,4,4,4,3,5,4,2,3,4,4,3,2,3,2,3,2,4,,,2,1,3,1
synthetic-0049,2,2,3,4,5,1,1,5,5,2,4,5,,4,1,4,2,1,2,4,5,5,4,4,1,5,5,3,1,5,1,,3,3,5,,1,5,4,1,2,1,4,2,3,2,2,5,5,1,4,5,1,3,3,5,5,,2,4
synthetic-0050,1,3,3,4,5,,3,3,4,2,1,5,4,3,3,5,2,2,2,1,4,2,3,1,2,3,2,1,2,1,3,2,4,4,5,3,4,1,5,2,2,1,2,5,3,2,2,2,5,3,3,4,4,3,2,3,2,4,2,4
synthetic-0051,3,3,4,,5,5,2,2,3,4,1,,1,1,3,3,2,3,3,1,1,1,1,3,3,1,3,3,3,2,3,5,5,4,3,3,3,3,2,5,4,5,5,5,,3,4,3,3,4,2,1,3,1,3,2,2,2,2,1
synthetic-0052,1,4,3,4,3,1,3,4,5,3,5,2,4,3,2,5,4,5,2,3,2,2,3,4,4,4,3,2,1,1,3,5,2,4,4,2,3,4,4,2,1,3,2,2,4,2,2,4,5,5,5,2,4,,2,5,,4,,3
synthetic-0053,5,3,4,3,2,4,5,4,4,5,2,3,4,4,2,2,2,1,2,2,1,1,2,4,3,2,3,2,4,2,5,4,3,2,1,4,5,3,4,3,4,4,4,2,2,4,5,4,2,,3,2,4,5,2,1,1,3,,1
synthetic-0054,3,2,3,2,3,2,4,4,2,2,3,4,4,5,2,3,1,1,3,3,2,4,4,4,4,4,4,4,4,2,2,2,3,1,,4,2,3,3,,4,2,3,3,3,3,3,3,4,2,4,4,2,3,1,4,4,2,4,4
synthetic-0055,5,4,4,1,4,5,4,1,3,5,2,2,1,4,3,2,1,4,4,3,2,2,1,5,2,1,1,5,3,2,5,5,4,2,4,5,2,3,4,3,4,5,4,3,4,5,4,1,4,4,2,1,2,,2,2,2,5,2,2
synthetic-0056,1,1,2,2,4,1,1,1,1,2,1,3,5,4,4,2,4,4,3,2,3,4,5,2,4,2,5,3,3,3,4,4,1,3,3,4,1,2,2,1,2,2,1,1,2,4,2,4,2,3,2,3,4,5,3,2,,3,5,3
synthetic-0057,5,2,5,5,5,4,2,4,4,1,2,4,1,,2,4,4,3,3,5,3,3,1,2,2,2,5,4,2,4,5,3,5,5,5,4,1,4,5,1,3,2,5,3,4,5,1,3,4,3,3,5,1,2,2,1,5,3,2,
synthetic-0058,3,3,1,5,1,3,3,5,4,2,4,3,5,2,3,5,4,2,4,3,4,1,4,3,5,4,2,1,4,4,3,1,2,4,2,1,2,3,2,3,3,5,3,4,2,1,,4,3,2,4,4,3,3,2,4,3,1,3,2
synthetic-0059,4,1,4,3,2,5,1,4,1,1,1,5,3,3,5,1,5,1,5,3,1,5,2,1,4,1,5,1,3,4,5,2,4,4,1,4,1,4,2,3,5,1,2,4,4,4,2,4,3,2,1,5,3,2,5,1,4,3,4,3
synthetic-0060,2,2,2,4,2,4,4,3,4,2,5,3,2,4,4,3,3,2,2,3,,2,1,1,3,3,4,4,1,2,2,,5,3,4,2,5,3,5,3,2,1,5,4,2,4,4,5,4,4,3,3,1,2,3,2,3,4,3,3
synthetic-0061,4,3,3,3,2,5,,4,4,3,2,5,4,3,2,4,3,2,3,3,2,3,5,4,3,2,4,1,4,4,4,1,1,2,3,3,4,2,3,2,5,2,2,2,1,3,5,4,2,2,2,4,3,4,3,5,4,2,2,5
synthetic-0062,5,2,1,1,2,4,3,3,2,3,1,5,4,5,1,2,5,5,3,4,1,5,5,5,5,1,2,5,4,5,5,,3,1,3,4,3,1,4,3,5,1,1,1,4,3,5,4,3,2,1,5,5,2,2,1,3,4,3,
synthetic-0063,3,1,2,2,1,4,3,3,1,2,2,5,2,5,5,1,3,3,4,4,2,5,3,,4,1,4,,3,5,4,2,3,1,1,5,4,4,1,2,4,1,2,2,1,4,2,4,1,2,3,5,3,3,4,1,5,,5,4
synthetic-0064,5,3,2,4,3,3,2,4,4,2,,4,3,2,1,,4,1,3,4,1,4,3,2,2,3,3,1,3,4,3,2,3,2,4,4,4,4,3,4,1,2,4,3,4,2,2,5,3,1,3,5,5,2,3,3,4,1,2,1
synthetic-0065,2,4,3,1,3,4,3,5,5,2,2,2,4,3,1,2,5,1,1,3,3,2,5,2,2,1,5,1,3,5,4,4,,4,3,5,2,5,4,2,,1,4,2,4,4,3,,3,4,2,3,2,3,3,2,4,2,2,4
synthetic-0066,1,3,4,3,3,5,4,2,2,5,2,3,2,2,4,3,1,4,4,1,4,2,1,3,3,4,2,3,3,2,2,,4,2,,3,4,3,2,3,1,5,3,3,1,3,4,4,2,5,3,2,1,3,3,1,3,5,3,1
synthetic-0067,3,1,3,4,2,3,5,2,2,1,4,4,4,3,4,3,4,3,5,4,4,5,4,1,4,1,2,4,5,5,2,1,,3,2,3,4,2,,1,2,1,3,4,3,4,1,1,2,2,1,5,5,2,3,,5,5,5,5
synthetic-0068,3,4,5,5,2,2,5,4,3,5,3,4,3,3,5,2,2,1,3,4,,3,1,3,3,3,,4,2,2,3,2,4,3,2,3,5,2,2,5,2,4,4,3,1,1,4,3,4,5,5,1,3,3,2,3,3,4,3,2
synthetic-0069,1,2,2,2,3,2,2,2,5,4,4,4,,5,1,5,5,5,3,3,4,4,4,5,1,3,5,4,1,4,3,1,4,3,4,2,1,2,2,4,1,2,3,2,3,2,2,1,2,2,4,5,4,5,2,4,3,4,1,5
synthetic-0070,4,2,3,3,3,4,3,3,5,1,1,3,2,,5,3,2,3,3,3,4,3,4,2,2,2,2,4,3,4,4,3,4,4,3,4,2,3,5,3,4,2,3,4,4,3,4,3,3,2,3,3,2,2,3,1,5,1,3,3
synthetic-0071,1,,4,1,1,3,1,4,3,4,3,3,3,5,4,5,2,4,2,4,5,2,3,4,4,4,5,,2,5,2,4,3,2,2,2,4,1,4,3,2,,3,2,2,1,5,1,5,3,5,3,5,4,,3,3,4,2,
synthetic-0072,3,1,3,3,2,4,2,5,4,3,1,4,3,4,2,4,2,4,3,3,1,4,3,3,3,1,3,3,3,2,4,4,5,2,3,5,4,3,4,4,1,3,5,5,3,3,4,5,3,3,1,3,2,3,4,4,4,2,1,3
synthetic-0073,4,3,1,1,5,5,1,3,3,2,2,4,5,3,2,1,4,5,3,4,1,4,5,3,1,1,3,4,4,4,4,2,1,4,5,4,1,1,3,2,4,2,1,2,,5,4,2,5,4,2,4,4,1,2,2,2,4,1,3
synthetic-0074,2,1,3,4,2,,4,3,2,2,5,2,2,1,1,4,2,1,1,2,3,2,3,1,4,3,1,1,3,2,,4,4,3,2,2,4,2,4,2,1,4,4,5,3,4,3,3,4,4,5,3,4,4,2,4,2,3,2,2
synthetic-0075,1,4,2,1,5,1,3,1,2,5,4,1,5,3,1,4,3,5,2,4,2,3,4,4,,5,4,4,2,3,2,3,3,2,4,3,4,2,3,3,2,4,1,3,4,2,3,3,5,5,4,2,3,4,2,4,5,5,3,2
synthetic-0076,5,2,4,3,1,5,1,3,1,3,1,4,1,4,3,3,4,4,5,5,3,2,3,4,5,1,4,5,5,5,4,2,2,1,2,4,1,2,1,2,5,2,4,1,1,5,2,3,1,1,2,3,3,5,5,2,5,3,5,3
synthetic-0077,2,2,2,2,3,4,3,2,2,1,3,2,5,2,3,3,2,3,2,3,1,1,5,3,2,4,4,4,3,4,3,2,2,3,3,3,4,2,4,2,2,5,1,2,,4,3,3,5,1,3,4,5,1,4,3,2,4,1,2
synthetic-0078,2,3,2,4,2,3,5,4,5,2,5,1,5,2,5,5,3,2,4,2,2,2,3,2,3,4,2,1,3,2,1,5,1,2,2,1,3,3,1,5,3,5,2,3,4,1,5,4,4,5,3,3,5,3,2,4,2,2,3,2
synthetic-0079,1,2,3,4,2,3,1,4,3,2,3,4,5,1,3,4,4,1,,4,2,5,5,1,5,5,3,1,2,4,2,2,2,5,3,1,1,3,4,2,5,4,4,5,2,2,2,5,4,4,4,4,2,1,,4,4,,3,4
synthetic-0080,5,2,3,3,5,3,2,3,4,1,4,3,3,3,1,2,4,2,1,5,5,3,5,3,1,,3,3,1,5,4,2,2,3,5,3,2,,4,4,4,2,3,2,5,2,1,4,4,1,3,3,3,4,1,3,5,3,2,4
synthetic-0081,4,3,4,2,4,3,3,4,3,3,3,5,4,3,3,,3,1,2,,3,3,1,2,2,3,3,2,2,3,2,2,5,3,5,4,1,4,4,3,2,1,5,4,5,5,2,3,5,2,2,4,4,2,2,4,5,,2,2
synthetic-0082,2,4,4,1,2,1,2,1,2,4,2,2,5,5,4,4,3,4,2,2,2,2,3,5,5,5,2,5,5,2,2,4,3,1,1,3,2,2,4,4,,3,3,1,1,1,3,1,1,4,3,1,3,5,5,5,3,5,5,4
synthetic-0083,4,2,3,3,4,3,4,3,5,2,2,3,2,3,3,4,3,2,2,2,2,2,2,4,2,4,3,2,2,4,4,2,3,1,3,2,4,3,4,2,5,5,4,1,5,3,4,2,5,3,1,3,2,5,3,3,5,4,1,2
synthetic-0084,5,4,2,2,3,4,2,3,1,4,2,4,4,5,4,4,3,4,5,4,,2,2,5,4,4,4,4,3,4,3,4,2,2,2,3,2,5,3,2,3,3,2,3,3,3,2,3,2,3,2,3,3,4,3,4,3,5,4,4
synthetic-0085,3,1,2,1,2,3,1,3,3,2,3,5,1,4,3,5,4,4,2,5,5,5,1,5,3,3,5,4,3,,1,1,4,1,4,2,3,1,4,1,1,2,4,2,5,3,2,1,2,1,2,5,3,5,1,2,4,3,3,4
synthetic-0086,4,5,1,1,2,3,2,2,1,2,1,2,2,5,5,,1,3,4,5,2,1,4,5,4,1,2,5,4,3,4,5,1,2,5,5,4,2,1,2,4,5,2,3,3,3,3,4,3,4,1,3,2,5,3,3,1,5,4,4
synthetic-0087,1,3,1,2,5,2,2,3,3,2,4,5,4,3,,4,2,4,1,2,5,,4,3,3,5,5,2,2,3,2,2,3,3,4,1,2,4,5,1,3,4,2,3,3,1,2,3,4,2,4,5,5,4,3,3,3,4,3,4
synthetic-0088,5,5,4,4,5,1,5,2,3,4,2,1,1,4,2,4,2,2,4,1,1,3,1,3,2,5,1,2,5,1,3,3,5,,4,2,3,3,3,4,3,5,4,3,3,1,5,3,1,4,3,3,2,5,2,5,1,3,2,1
synthetic-0089,1,4,3,2,3,4,4,2,4,5,3,3,2,1,4,2,3,3,,2,3,4,3,2,3,1,4,1,1,2,3,4,3,3,4,2,,3,5,3,2,2,5,3,5,2,3,3,4,3,5,3,4,2,1,2,4,2,4,3
synthetic-0090,4,5,5,4,1,4,3,4,1,4,2,3,1,4,5,1,5,1,5,3,2,2,1,4,5,2,2,3,5,3,4,2,5,4,1,,2,5,1,4,5,2,5,2,2,5,3,4,2,2,1,2,2,3,5,3,2,3,5,3
synthetic-0091,5,2,4,5,4,4,1,3,4,3,2,3,1,3,3,3,3,2,3,2,1,3,1,,3,1,4,5,1,2,4,2,5,2,3,2,1,4,4,2,5,3,4,2,2,5,2,3,5,3,3,5,3,2,3,4,4,2,1,1
synthetic-0092,4,3,,4,1,4,3,4,1,4,3,2,5,3,,3,1,2,,1,1,3,4,4,3,2,3,2,5,2,3,3,2,3,2,5,3,5,1,4,5,4,1,4,2,3,3,4,,3,2,2,5,3,3,2,2,1,3,5
synthetic-0093,3,5,1,1,3,4,2,3,2,4,2,2,4,2,4,2,5,5,5,3,2,2,5,5,3,2,5,3,4,2,4,3,2,1,2,4,1,1,2,3,5,3,3,4,2,4,3,1,2,2,1,1,4,2,3,3,5,4,1,2
synthetic-0094,3,3,4,5,2,3,4,4,2,4,3,3,4,1,5,5,4,,5,2,4,3,1,2,5,3,2,,5,2,5,2,3,5,1,3,3,2,1,2,4,4,4,3,1,3,4,3,1,3,4,1,3,1,5,3,2,2,,2
synthetic-0095,,,2,3,1,4,4,5,3,3,4,5,5,2,4,3,3,1,3,4,3,2,5,2,,1,3,1,2,3,,1,2,3,3,2,3,5,3,3,5,3,2,5,5,3,5,5,2,2,4,4,3,1,2,3,3,2,5,5
synthetic-0096,1,2,4,3,5,1,3,2,4,2,3,3,2,3,1,5,3,5,3,4,5,3,3,3,1,5,3,4,3,3,2,2,5,3,5,1,,2,,3,1,3,3,4,5,1,3,3,3,3,5,4,2,3,2,4,2,2,3,2
synthetic-0097,1,3,4,5,3,1,4,1,2,4,4,1,3,3,5,5,3,5,2,3,4,,3,,4,5,4,5,4,4,2,2,2,,1,1,,2,2,4,1,4,4,2,1,1,5,1,2,2,5,3,4,3,4,2,4,5,4,3
synthetic-0098,3,3,2,3,4,4,5,1,3,2,2,1,4,4,1,2,3,5,3,2,1,2,3,4,1,3,,5,1,2,5,3,1,3,4,2,4,2,3,4,4,5,2,4,2,3,2,1,3,4,1,1,5,3,3,5,2,5,3,3
synthetic-0099,3,4,3,2,3,2,2,1,1,4,3,1,2,4,4,5,4,4,5,1,3,2,2,5,4,,2,2,5,4,3,3,5,3,2,,3,2,1,3,3,3,4,4,2,2,3,2,4,1,2,2,1,3,4,4,4,5,5,5
synthetic-0100,4,1,5,5,3,5,5,5,4,1,2,5,1,4,3,1,5,1,4,5,2,5,1,1,3,1,4,1,4,5,5,2,5,4,3,4,2,5,3,2,5,1,5,3,2,5,1,4,2,1,3,5,1,2,1,3,5,3,2,4
synthetic-0101,3,2,1,4,2,2,2,5,1,4,,5,2,1,4,2,4,1,5,4,5,5,5,1,4,4,4,2,5,3,4,2,1,5,4,2,1,5,1,1,3,1,2,5,1,2,3,3,1,5,3,5,3,2,3,5,4,1,5,1
synthetic-0102,4,1,3,2,2,3,1,4,4,2,2,4,3,4,5,3,5,2,2,1,3,5,3,4,5,2,3,2,2,2,4,1,3,2,1,2,2,4,4,2,4,1,2,2,1,3,1,4,2,3,,4,2,5,5,3,5,4,4,5
synthetic-0103,3,5,3,4,2,2,5,,3,4,2,1,4,1,4,3,2,3,4,3,2,2,3,4,3,3,2,3,2,3,4,5,3,3,5,3,3,1,4,5,4,5,3,2,2,3,3,1,2,3,3,2,1,2,2,2,2,5,2,3
